label,axis,sign,value,dec15_pre,headwind_dec15,dec15_post,gap_to_target,in_band,yoy_dec15_pct,prior_dec15_ma,seam_to_dec15_pct,seam_actual_ma,seam_forecast_ma,seam_step,seam_step_pct,seam_slope_before,seam_slope_after,seam_slope_kink,last_training_date,slug
center,(center),0,,17645858.735084023,-27162.0,17618696.735084023,-305172.2649159767,False,12.460482488246605,15690719.392857144,3.3639972559508236,17082290.35714286,17071571.53703063,-10718.820112228394,-0.06274814376835823,-2050.8485086344836,-6006.399873117331,-3955.551364482847,2026-07-27,cps0.035_thresh055_recent13_cpr0.75_ncp25_clip0.6_sps0.1_regimemultiplicative
changepoint-prior-scale__minus,changepoint-prior-scale,-1,0.0315,17651984.38541621,-27162.0,17624822.38541621,-299046.6145837903,False,12.499522446701139,15690719.392857144,3.4007810766892854,17082290.35714286,17071422.673610423,-10867.683532435447,-0.06361959260276354,-2050.8485086344836,-6170.514081284725,-4119.665572650241,2026-07-27,cps0.0315_thresh055_recent13_cpr0.75_ncp25_clip0.6_sps0.1_regimemultiplicative
changepoint-prior-scale__plus,changepoint-prior-scale,1,0.0385,17640981.581452925,-27162.0,17613819.581452925,-310049.41854707524,False,12.429399441580703,15690719.392857144,3.334557906929625,17082290.35714286,17071715.34748485,-10575.009658008814,-0.061906275077375304,-2050.8485086344836,-5851.32300209682,-3800.474493462337,2026-07-27,cps0.0385_thresh055_recent13_cpr0.75_ncp25_clip0.6_sps0.1_regimemultiplicative
changepoint-range__minus,changepoint-range,-1,0.725,17674722.324303836,-27162.0,17647560.324303836,-276308.67569616437,False,12.644435744290128,15690719.392857144,3.522292651608705,17082290.35714286,17073349.006851982,-8941.350290875882,-0.05234280710570588,-2050.8485086344836,-3873.351164101734,-1822.5026554672504,2026-07-27,cps0.035_thresh055_recent13_cpr0.725_ncp25_clip0.6_sps0.1_regimemultiplicative
changepoint-range__plus,changepoint-range,1,0.775,17632604.821644045,-27162.0,17605442.821644045,-318426.1783559546,False,12.376012725528085,15690719.392857144,3.290482899446845,17082290.35714286,17070890.10205264,-11400.255090218037,-0.06673727498989085,-2050.8485086344836,-6815.664380885698,-4764.815872251214,2026-07-27,cps0.035_thresh055_recent13_cpr0.775_ncp25_clip0.6_sps0.1_regimemultiplicative
n-changepoints__minus,n-changepoints,-1,22.0,17633980.655550353,-27162.0,17606818.655550353,-317050.3444496468,False,12.384781182039607,15690719.392857144,3.2915630864181145,17082290.35714286,17072043.57126149,-10246.78588136658,-0.059984847857839786,-2050.8485086344836,-5618.322015774438,-3567.4735071399546,2026-07-27,cps0.035_thresh055_recent13_cpr0.75_ncp22_clip0.6_sps0.1_regimemultiplicative
n-changepoints__plus,n-changepoints,1,28.0,17643521.174531948,-27162.0,17616359.174531948,-307509.8254680522,False,12.445584761166373,15690719.392857144,3.345877250441931,17082290.35714286,17072302.876461867,-9987.480680990964,-0.058466871082160005,-2050.8485086344836,-5206.8794342763285,-3156.030925641845,2026-07-27,cps0.035_thresh055_recent13_cpr0.75_ncp28_clip0.6_sps0.1_regimemultiplicative
recent-weeks__minus,recent-weeks,-1,11.0,17646912.413431562,-27162.0,17619750.413431562,-304118.5865684375,False,12.467197784857031,15690719.392857144,3.369780582533366,17082290.35714286,17071635.74691132,-10654.610231537372,-0.06237225810344694,-2050.8485086344836,-5931.460174696884,-3880.6116660624,2026-07-27,cps0.035_thresh055_recent11_cpr0.75_ncp25_clip0.6_sps0.1_regimemultiplicative
recent-weeks__plus,recent-weeks,1,15.0,17645890.239322424,-27162.0,17618728.239322424,-305140.76067757607,False,12.460683270872398,15690719.392857144,3.363996465877994,17082290.35714286,17071602.14644719,-10688.210695669055,-0.06256895575598177,-2050.8485086344836,-5977.743588990411,-3926.8950803559273,2026-07-27,cps0.035_thresh055_recent15_cpr0.75_ncp25_clip0.6_sps0.1_regimemultiplicative
seasonality-prior-scale__minus,seasonality-prior-scale,-1,0.09,17645622.47764154,-27162.0,17618460.47764154,-305408.5223584585,False,12.458976773712017,15690719.392857144,3.362272704738478,17082290.35714286,17071627.79600202,-10662.56114083901,-0.06241880285321648,-2050.8485086344836,-5937.506776379452,-3886.6582677449687,2026-07-27,cps0.035_thresh055_recent13_cpr0.75_ncp25_clip0.6_sps0.09_regimemultiplicative
seasonality-prior-scale__plus,seasonality-prior-scale,1,0.11,17651438.808219306,-27162.0,17624276.808219306,-299592.1917806938,False,12.496045377337751,15690719.392857144,3.396145833594688,17082290.35714286,17071660.327288654,-10630.029854204506,-0.06222836418279017,-2050.8485086344836,-5883.809633444442,-3832.961124809958,2026-07-27,cps0.035_thresh055_recent13_cpr0.75_ncp25_clip0.6_sps0.11_regimemultiplicative
