label,axis,sign,value,dec15_pre,headwind_dec15,dec15_post,gap_to_target,in_band,yoy_dec15_pct,prior_dec15_ma,seam_to_dec15_pct,seam_actual_ma,seam_forecast_ma,seam_step,seam_step_pct,seam_slope_before,seam_slope_after,seam_slope_kink,last_training_date,slug
center,(center),0,,17628317.174866457,-27162.0,17601155.174866457,-322713.82513354346,False,12.348686720453127,15690719.392857144,3.2568305210464166,17082290.35714286,17072301.256887164,-9989.10025569424,-0.05847635209828498,-2050.8485086344836,-5005.052869119354,-2954.2043604848704,2026-07-27,cps0.035_thresh055_recent13_cpr0.75_ncp25_clip0.6_sps0.1
changepoint-prior-scale__minus,changepoint-prior-scale,-1,0.0315,17634664.528116945,-27162.0,17607502.528116945,-316366.4718830548,False,12.38913963463486,15690719.392857144,3.2946229899087243,17082290.35714286,17072199.90515842,-10090.451984439045,-0.05906966673365192,-2050.8485086344836,-5124.59962006307,-3073.7511114285862,2026-07-27,cps0.0315_thresh055_recent13_cpr0.75_ncp25_clip0.6_sps0.1
changepoint-prior-scale__plus,changepoint-prior-scale,1,0.0385,17624256.888203032,-27162.0,17597094.888203032,-326774.1117969677,False,12.322809725512585,15690719.392857144,3.2327212162097663,17082290.35714286,17072355.238307565,-9935.118835292757,-0.05816034400292491,-2050.8485086344836,-4959.070752484051,-2908.2222438495673,2026-07-27,cps0.0385_thresh055_recent13_cpr0.75_ncp25_clip0.6_sps0.1
changepoint-range__minus,changepoint-range,-1,0.725,17652224.03935567,-27162.0,17625062.03935567,-298806.96064433083,False,12.501049807770181,15690719.392857144,3.3866601910429006,17082290.35714286,17073986.147474956,-8304.20966790244,-0.04861297574438011,-2050.8485086344836,-3054.856696069854,-1004.0081874353705,2026-07-27,cps0.035_thresh055_recent13_cpr0.725_ncp25_clip0.6_sps0.1
changepoint-range__plus,changepoint-range,1,0.775,17611183.26793416,-27162.0,17584021.26793416,-339847.73206584156,False,12.239489006165405,15690719.392857144,3.164435479107963,17082290.35714286,17070983.02447517,-11307.33266768977,-0.06619330564745772,-2050.8485086344836,-6536.640747579801,-4485.792238945318,2026-07-27,cps0.035_thresh055_recent13_cpr0.775_ncp25_clip0.6_sps0.1
n-changepoints__minus,n-changepoints,-1,22.0,17623114.185034014,-27162.0,17595952.185034014,-327916.8149659857,False,12.315527056436636,15690719.392857144,3.2250725517251055,17082290.35714286,17072513.24643365,-9777.110709208995,-0.05723536191457344,-2050.8485086344836,-4909.8043866998705,-2858.955878065387,2026-07-27,cps0.035_thresh055_recent13_cpr0.75_ncp22_clip0.6_sps0.1
n-changepoints__plus,n-changepoints,1,28.0,17629288.11390617,-27162.0,17602126.11390617,-321742.8860938288,False,12.354874703396446,15690719.392857144,3.258765733166724,17082290.35714286,17072921.595307857,-9368.761835001409,-0.05484488109689528,-2050.8485086344836,-4343.414416018834,-2292.565907384351,2026-07-27,cps0.035_thresh055_recent13_cpr0.75_ncp28_clip0.6_sps0.1
recent-weeks__minus,recent-weeks,-1,11.0,17630059.625052936,-27162.0,17602897.625052936,-320971.3749470636,False,12.359791693672339,15690719.392857144,3.267331621872116,17082290.35714286,17072252.519904245,-10037.837238613516,-0.058761659173040895,-2050.8485086344836,-5066.32202888371,-3015.4735202492266,2026-07-27,cps0.035_thresh055_recent11_cpr0.75_ncp25_clip0.6_sps0.1
recent-weeks__plus,recent-weeks,1,15.0,17631653.13507272,-27162.0,17604491.13507272,-319377.8649272807,False,12.369947442302376,15690719.392857144,3.276533961434014,17082290.35714286,17072274.270607118,-10016.086535740644,-0.05863433021177091,-2050.8485086344836,-5038.880267843282,-2988.0317592087986,2026-07-27,cps0.035_thresh055_recent15_cpr0.75_ncp25_clip0.6_sps0.1
seasonality-prior-scale__minus,seasonality-prior-scale,-1,0.09,17627258.31229371,-27162.0,17600096.31229371,-323772.6877062917,False,12.341938383769268,15690719.392857144,3.2496561526111023,17082290.35714286,17072462.00049251,-9828.356650348753,-0.057535356470738624,-2050.8485086344836,-4836.88427532844,-2786.0357666939562,2026-07-27,cps0.035_thresh055_recent13_cpr0.75_ncp25_clip0.6_sps0.09
seasonality-prior-scale__plus,seasonality-prior-scale,1,0.11,17630955.145090945,-27162.0,17603793.145090945,-320075.85490905493,False,12.365499016680204,15690719.392857144,3.2727780848920807,17082290.35714286,17072219.293450188,-10071.063692670316,-0.05895616736463656,-2050.8485086344836,-5101.98978611067,-3051.1412774761866,2026-07-27,cps0.035_thresh055_recent13_cpr0.75_ncp25_clip0.6_sps0.11
