label,axis,sign,value,dec15_pre,headwind_dec15,dec15_post,gap_to_target,in_band,yoy_dec15_pct,prior_dec15_ma,seam_to_dec15_pct,seam_actual_ma,seam_forecast_ma,seam_step,seam_step_pct,seam_slope_before,seam_slope_after,seam_slope_kink,last_training_date,slug
center,(center),0,,17628317.131288674,-27162.0,17601155.131288674,-322713.8687113263,False,12.348686442723444,15690719.392857144,3.2568499060226186,17082290.35714286,17072298.00960689,-9992.347535967827,-0.05849536172876014,-2050.8485086344836,-5015.346550911965,-2964.4980422774815,2026-07-27,cps0.035_thresh055_recent13_cpr0.75_ncp25_clip0.6_sps0.1_regimeadditive
changepoint-prior-scale__minus,changepoint-prior-scale,-1,0.0315,17634665.07547046,-27162.0,17607503.07547046,-316365.9245295413,False,12.389143123025036,15690719.392857144,3.294645778748362,17082290.35714286,17072196.668589167,-10093.68855369091,-0.059088613661635224,-2050.8485086344836,-5134.897092992658,-3084.0485843581746,2026-07-27,cps0.0315_thresh055_recent13_cpr0.75_ncp25_clip0.6_sps0.1_regimeadditive
changepoint-prior-scale__plus,changepoint-prior-scale,1,0.0385,17624256.50469766,-27162.0,17597094.50469766,-326774.49530233815,False,12.322807281358417,15690719.392857144,3.232738454226358,17082290.35714286,17072352.016034428,-9938.341108430177,-0.058179207241226404,-2050.8485086344836,-4969.354001581004,-2918.5054929465205,2026-07-27,cps0.0385_thresh055_recent13_cpr0.75_ncp25_clip0.6_sps0.1_regimeadditive
changepoint-range__minus,changepoint-range,-1,0.725,17652224.186928038,-27162.0,17625062.186928038,-298806.81307196245,False,12.501050748277521,15690719.392857144,3.3866787285437905,17082290.35714286,17073983.22880303,-8307.12833982706,-0.04863006169634322,-2050.8485086344836,-3064.4338186846094,-1013.5853100501258,2026-07-27,cps0.035_thresh055_recent13_cpr0.725_ncp25_clip0.6_sps0.1_regimeadditive
changepoint-range__plus,changepoint-range,1,0.775,17611184.1349676,-27162.0,17584022.1349676,-339846.86503240094,False,12.239494531937801,15690719.392857144,3.1644567281331915,17082290.35714286,17070980.348762877,-11310.008379980922,-0.06620896930985433,-2050.8485086344836,-6545.152940906257,-4494.304432271773,2026-07-27,cps0.035_thresh055_recent13_cpr0.775_ncp25_clip0.6_sps0.1_regimeadditive
n-changepoints__minus,n-changepoints,-1,22.0,17623115.360473365,-27162.0,17595953.360473365,-327915.6395266354,False,12.315534547739748,15690719.392857144,3.22509772948969,17082290.35714286,17072510.220969968,-9780.136172890663,-0.057253073027184305,-2050.8485086344836,-4919.592514921576,-2868.744006287093,2026-07-27,cps0.035_thresh055_recent13_cpr0.75_ncp22_clip0.6_sps0.1_regimeadditive
n-changepoints__plus,n-changepoints,1,28.0,17629288.28957932,-27162.0,17602126.28957932,-321742.7104206793,False,12.354875822995526,15690719.392857144,3.258785287996213,17082290.35714286,17072918.532219764,-9371.824923094362,-0.05486281246340945,-2050.8485086344836,-4353.256011803486,-2302.4075031690027,2026-07-27,cps0.035_thresh055_recent13_cpr0.75_ncp28_clip0.6_sps0.1_regimeadditive
recent-weeks__minus,recent-weeks,-1,11.0,17630060.65812797,-27162.0,17602898.65812797,-320970.341872029,False,12.359798277660051,15690719.392857144,3.2673581124699425,17082290.35714286,17072249.14084354,-10041.216299317777,-0.05878144024825747,-2050.8485086344836,-5077.209801185856,-3026.3612925513726,2026-07-27,cps0.035_thresh055_recent11_cpr0.75_ncp25_clip0.6_sps0.1_regimeadditive
recent-weeks__plus,recent-weeks,1,15.0,17631653.58107571,-27162.0,17604491.58107571,-319377.4189242907,False,12.369950284765995,15690719.392857144,3.276554353362071,17082290.35714286,17072271.331544213,-10019.02559864521,-0.05865153553285561,-2050.8485086344836,-5048.891927870103,-2998.0434192356197,2026-07-27,cps0.035_thresh055_recent15_cpr0.75_ncp25_clip0.6_sps0.1_regimeadditive
seasonality-prior-scale__minus,seasonality-prior-scale,-1,0.09,17627259.239573445,-27162.0,17600097.239573445,-323771.7604265548,False,12.341944293503015,15690719.392857144,3.2496812356558324,17082290.35714286,17072458.75107469,-9831.606068167835,-0.05755437861443918,-2050.8485086344836,-4847.172110891206,-2796.3236022567226,2026-07-27,cps0.035_thresh055_recent13_cpr0.75_ncp25_clip0.6_sps0.09_regimeadditive
seasonality-prior-scale__plus,seasonality-prior-scale,1,0.11,17630956.634274084,-27162.0,17603794.634274084,-320074.3657259159,False,12.365508507533374,15690719.392857144,3.2728063590849565,17082290.35714286,17072216.061380498,-10074.295762360096,-0.0589750879521117,-2050.8485086344836,-5112.279321414351,-3061.4308127798677,2026-07-27,cps0.035_thresh055_recent13_cpr0.75_ncp25_clip0.6_sps0.11_regimeadditive
