label,regime,cps,cpr,recent,ncp,sps,global_trough_post,global_trough_pre,ex_cn_ir_trough_post,dec15_post,gap_to_bullseye,dec15_delta
auto__sps00825,auto,0.08983,0.65,13,25,0.00825,43246576,43992060,40782423,48585483,-1813424,0
auto__sps003,auto,0.08983,0.65,13,25,0.003,45287305,46032789,42932690,45668335,227305,-2917148
mult__sps00825,multiplicative,0.08983,0.65,13,25,0.00825,44539723,45285207,42065750,48778383,-520277,192900
mult__sps005,multiplicative,0.08983,0.65,13,25,0.05,44531645,45277130,42057603,48771640,-528355,186157
mult__sps05,multiplicative,0.08983,0.65,13,25,0.5,44536639,45282124,42059927,48785646,-523361,200163
mult__sps2,multiplicative,0.08983,0.65,13,25,2.0,44537647,45283131,42061201,48777538,-522353,192055
mult__sps10,multiplicative,0.08983,0.65,13,25,10.0,44534409,45279894,42058025,48787181,-525591,201698
add__sps00825,additive,0.08983,0.65,13,25,0.00825,43243611,43989096,40745705,48586588,-1816389,1105
add__sps003,additive,0.08983,0.65,13,25,0.003,45275127,46020611,42854773,45667152,215127,-2918331
