date,uac_actuals_through,meta_actuals_through,uac_raw,uac_raw_rolling_12mo,meta_raw,uac_actual,uac_forecast,uac_meta_actual,uac_meta_forecast
2026-06-01,2026-07-20,2026-07-13,1335623.405615009,1082176.3357036335,14015.522766001568,1335623.0,,1349639.0,
2026-06-08,2026-07-20,2026-07-13,1372297.776964128,1114678.0533437768,10789.332973414968,1372298.0,,1383087.0,
2026-06-15,2026-07-20,2026-07-13,1422959.280937219,1161128.0983944586,18668.10468212057,1422959.0,,1441627.0,
2026-06-22,2026-07-20,2026-07-13,1459931.1619679763,1189932.5872047194,21200.709967868203,1459931.0,,1481132.0,
2026-06-29,2026-07-20,2026-07-13,1471658.0290009982,1200297.6358725086,21326.024958863207,1471658.0,,1492984.0,
2026-07-06,2026-07-20,2026-07-13,1495346.298768004,1224222.4915955302,19495.05017614561,1495346.0,,1514841.0,
2026-07-13,2026-07-20,2026-07-13,1531363.4454774468,1258413.3001563265,18476.45508316136,1531363.0,,1549840.0,1549840.0
2026-07-20,2026-07-20,2026-07-13,1526784.9050929658,1255705.2074746948,21048.347992330702,1526785.0,1526785.0,,1547833.0
2026-07-27,2026-07-20,2026-07-13,1486219.0878012427,1204745.0615605381,22313.67476455786,,1486219.0,,1508533.0
2026-08-03,2026-07-20,2026-07-13,1486334.0284804946,1201497.5314186153,23423.78985235704,,1486334.0,,1509758.0
2026-08-10,2026-07-20,2026-07-13,1488361.2942072514,1200377.2548189517,24431.444601144693,,1488361.0,,1512793.0
2026-08-17,2026-07-20,2026-07-13,1493853.440544914,1202881.743193834,25359.22860037066,,1493853.0,,1519213.0
2026-08-24,2026-07-20,2026-07-13,1497915.4245975667,1204097.8289486899,26220.39611250585,,1497915.0,,1524136.0
2026-08-31,2026-07-20,2026-07-13,1502014.6332465843,1205251.971158889,27024.026602717608,,1502015.0,,1529039.0
2026-09-07,2026-07-20,2026-07-13,1508234.4209458071,1208698.6135403332,27776.916007056196,,1508234.0,,1536011.0
2026-09-14,2026-07-20,2026-07-13,1512927.2782309975,1210663.0291664782,28484.43917061175,,1512927.0,,1541412.0
2026-09-21,2026-07-20,2026-07-13,1517413.5708876473,1212597.61721641,29151.004800555387,,1517414.0,,1546565.0
2026-09-28,2026-07-20,2026-07-13,1521738.570401098,1214064.318088862,29780.322085433403,,1521739.0,,1551519.0
2026-10-05,2026-07-20,2026-07-13,1511082.168032395,1200035.4885180301,30375.5698390951,,1511082.0,,1541458.0
2026-10-12,2026-07-20,2026-07-13,1510461.9092647526,1196125.0337732749,30939.510593851683,,1510462.0,,1541401.0
2026-10-19,2026-07-20,2026-07-13,1510844.142696166,1193465.4328719368,31474.571366857057,,1510844.0,,1542319.0
2026-10-26,2026-07-20,2026-07-13,1511782.8149162212,1190991.4543816159,31982.903080165735,,1511783.0,,1543766.0
2026-11-02,2026-07-20,2026-07-13,1513083.3470442104,1188546.6389260362,32466.42565768607,,1513083.0,,1545550.0
2026-11-09,2026-07-20,2026-07-13,1514633.9051677405,1186365.435949414,32926.863132379316,,1514634.0,,1547561.0
2026-11-16,2026-07-20,2026-07-13,1516361.5242111317,1184325.013158686,33365.77155600437,,1516362.0,,1549727.0
2026-11-23,2026-07-20,2026-07-13,1518215.0815407583,1182477.0623512184,33784.56157880567,,1518215.0,,1552000.0
2026-11-30,2026-07-20,2026-07-13,1520157.1253526495,1180052.6299293675,34184.51698865479,,1520157.0,,1554342.0
2026-12-07,2026-07-20,2026-07-13,1522159.3895112239,1177740.4206226082,34566.8101251912,,1522159.0,,1556726.0
2026-12-14,2026-07-20,2026-07-13,1524200.0941159306,1179228.1978468162,34932.514834931164,,1524200.0,,1559133.0
2026-12-21,2026-07-20,2026-07-13,1526262.2089713255,1181608.0549738982,35282.617462158174,,1526262.0,,1561545.0
2026-12-28,2026-07-20,2026-07-13,1528332.2793653125,1182620.749897168,35618.026250163384,,1528332.0,,1563950.0
