date,uac_actuals_through,meta_actuals_through,uac_raw,uac_raw_rolling_12mo,meta_raw,uac_actual,uac_forecast,uac_meta_actual,uac_meta_forecast
2026-01-05,2026-07-20,2026-07-13,732004.1680277741,620025.9961112697,,732004.0,,,
2026-01-12,2026-07-20,2026-07-13,750061.7762913826,632885.6953179917,,750062.0,,,
2026-01-19,2026-07-20,2026-07-13,764843.1862822868,637798.7090755973,,764843.0,,,
2026-01-26,2026-07-20,2026-07-13,780545.1671919379,643780.8772972117,,780545.0,,,
2026-02-02,2026-07-20,2026-07-13,803862.9807460292,659304.753031053,,803863.0,,,
2026-02-09,2026-07-20,2026-07-13,816451.2134317207,666300.3212961563,,816451.0,,,
2026-02-16,2026-07-20,2026-07-13,827181.4926743135,673540.1295345674,,827181.0,,,
2026-02-23,2026-07-20,2026-07-13,843209.153146638,678606.1778581385,,843209.0,,,
2026-03-02,2026-07-20,2026-07-13,856933.1409530863,685122.5177893381,,856933.0,,,
2026-03-09,2026-07-20,2026-07-13,875724.5418262709,694688.4865434247,,875725.0,,,
2026-03-16,2026-07-20,2026-07-13,885669.5134733407,702958.5100879126,,885670.0,,,
2026-03-23,2026-07-20,2026-07-13,900932.0313827194,709548.7067046823,,900932.0,,,
2026-03-30,2026-07-20,2026-07-13,922250.4715237125,729007.0416142403,,922250.0,,,
2026-04-06,2026-07-20,2026-07-13,958738.9626848287,754658.7957765594,,958739.0,,,
2026-04-13,2026-07-20,2026-07-13,997611.5476841651,783419.2003191178,,997612.0,,,
2026-04-20,2026-07-20,2026-07-13,1042974.611665926,826071.832091484,,1042975.0,,,
2026-04-27,2026-07-20,2026-07-13,1069881.0091132584,848301.5448613473,,1069881.0,,,
2026-05-04,2026-07-20,2026-07-13,1099193.096388325,866868.9945826912,3.0836941993459868,1099193.0,,1099196.0,
2026-05-11,2026-07-20,2026-07-13,1183990.3978861,947938.862264621,3736.284543551412,1183990.0,,1187727.0,
2026-05-18,2026-07-20,2026-07-13,1233720.2244877855,993036.1905093453,11102.940572332385,1233720.0,,1244823.0,
2026-05-25,2026-07-20,2026-07-13,1276417.6531372492,1028406.675154691,13267.199966572989,1276418.0,,1289685.0,
