submission_date,type,dau
2026-06-01,actuals,0
2026-06-02,actuals,21000
2026-06-03,actuals,200830
2026-06-04,actuals,479640
2026-06-05,actuals,637470
2026-06-06,actuals,433610
2026-06-07,actuals,411260
2026-06-08,actuals,773280
2026-06-09,actuals,805010
2026-06-10,actuals,822200
2026-06-11,actuals,841910
2026-06-12,actuals,831290
2026-06-13,actuals,512560
2026-06-14,actuals,478210
2026-06-15,actuals,878290
2026-06-16,actuals,871290
2026-06-17,actuals,900030
2026-06-18,actuals,883260
2026-06-19,actuals,438310
2026-06-20,actuals,455730
2026-06-21,actuals,510950
2026-06-22,actuals,956000
2026-06-23,actuals,963270
2026-06-24,actuals,960920
2026-06-25,actuals,985290
2026-06-26,actuals,930130
2026-06-27,actuals,579380
2026-06-28,actuals,526710
2026-06-29,forecast,802771
2026-06-30,forecast,805444
2026-07-01,forecast,798171
2026-07-02,forecast,792554
2026-07-03,forecast,772698
2026-07-04,forecast,580834
2026-07-05,forecast,559803
2026-07-06,forecast,784259
2026-07-07,forecast,786188
2026-07-08,forecast,778390
2026-07-09,forecast,772319
2026-07-10,forecast,752271
2026-07-11,forecast,562469
2026-07-12,forecast,541413
2026-07-13,forecast,762797
2026-07-14,forecast,764546
2026-07-15,forecast,756758
2026-07-16,forecast,750741
2026-07-17,forecast,730991
2026-07-18,forecast,543780
2026-07-19,forecast,523146
2026-07-20,forecast,741817
2026-07-21,forecast,743797
2026-07-22,forecast,736420
2026-07-23,forecast,730840
2026-07-24,forecast,711757
2026-07-25,forecast,527504
2026-07-26,forecast,507629
2026-07-27,forecast,723887
2026-07-28,forecast,726401
2026-07-29,forecast,719718
2026-07-30,forecast,714839
2026-07-31,forecast,696668
2026-08-01,forecast,515595
2026-08-02,forecast,496683
2026-08-03,forecast,710722
2026-08-04,forecast,713934
2026-08-05,forecast,708086
2026-08-06,forecast,704028
2026-08-07,forecast,686866
2026-08-08,forecast,509031
2026-08-09,forecast,491134
2026-08-10,forecast,703007
2026-08-11,forecast,706925
2026-08-12,forecast,701898
2026-08-13,forecast,698626
2026-08-14,forecast,682412
2026-08-15,forecast,507711
2026-08-16,forecast,490727
2026-08-17,forecast,700343
2026-08-18,forecast,704829
2026-08-19,forecast,700464
2026-08-20,forecast,697799
2026-08-21,forecast,682337
2026-08-22,forecast,510531
2026-08-23,forecast,494232
2026-08-24,forecast,701387
2026-08-25,forecast,706190
2026-08-26,forecast,702222
2026-08-27,forecast,699889
2026-08-28,forecast,684893
2026-08-29,forecast,515657
2026-08-30,forecast,499741
2026-08-31,forecast,704172
2026-09-01,forecast,708984
2026-09-02,forecast,705104
2026-09-03,forecast,702792
2026-09-04,forecast,687947
2026-09-05,forecast,520939
2026-09-06,forecast,505099
2026-09-07,forecast,706545
2026-09-08,forecast,711073
2026-09-09,forecast,706990
2026-09-10,forecast,704419
2026-09-11,forecast,689453
2026-09-12,forecast,524378
2026-09-13,forecast,508362
2026-09-14,forecast,706631
2026-09-15,forecast,710654
2026-09-16,forecast,706161
2026-09-17,forecast,703139
2026-09-18,forecast,687873
2026-09-19,forecast,524537
2026-09-20,forecast,508199
2026-09-21,forecast,703210
2026-09-22,forecast,706625
2026-09-23,forecast,701634
2026-09-24,forecast,698091
2026-09-25,forecast,243672
2026-09-26,forecast,520806
2026-09-27,forecast,504132
2026-09-28,forecast,695935
2026-09-29,forecast,698765
2026-09-30,forecast,693317
2026-10-01,forecast,246209
2026-10-02,forecast,231126
2026-10-03,forecast,72004
2026-10-04,forecast,496571
2026-10-05,forecast,685337
2026-10-06,forecast,687723
2026-10-07,forecast,681971
2026-10-08,forecast,677672
2026-10-09,forecast,661667
2026-10-10,forecast,503609
2026-10-11,forecast,486669
2026-10-12,forecast,672648
2026-10-13,forecast,674807
2026-10-14,forecast,668972
2026-10-15,forecast,664603
2026-10-16,forecast,648721
2026-10-17,forecast,492739
2026-10-18,forecast,475994
2026-10-19,forecast,659469
2026-10-20,forecast,661637
2026-10-21,forecast,655950
2026-10-22,forecast,651741
2026-10-23,forecast,636203
2026-10-24,forecast,482480
2026-10-25,forecast,466141
2026-10-26,forecast,647361
2026-10-27,forecast,649735
2026-10-28,forecast,644383
2026-10-29,forecast,640509
2026-10-30,forecast,625478
2026-10-31,forecast,474128
2026-11-01,forecast,458332
2026-11-02,forecast,637467
2026-11-03,forecast,640160
2026-11-04,forecast,635238
2026-11-05,forecast,631781
2026-11-06,forecast,617318
2026-11-07,forecast,468355
2026-11-08,forecast,453131
2026-11-09,forecast,630243
2026-11-10,forecast,633258
2026-11-11,forecast,628750
2026-11-12,forecast,625679
2026-11-13,forecast,611734
2026-11-14,forecast,465059
2026-11-15,forecast,450326
2026-11-16,forecast,625369
2026-11-17,forecast,628600
2026-11-18,forecast,624386
2026-11-19,forecast,621566
2026-11-20,forecast,607992
2026-11-21,forecast,463412
2026-11-22,forecast,449000
2026-11-23,forecast,621840
2026-11-24,forecast,625102
2026-11-25,forecast,620988
2026-11-26,forecast,618218
2026-11-27,forecast,604805
2026-11-28,forecast,462072
2026-11-29,forecast,447762
2026-11-30,forecast,618226
2026-12-01,forecast,621301
2026-12-02,forecast,617065
2026-12-03,forecast,614126
2026-12-04,forecast,600653
2026-12-05,forecast,459517
2026-12-06,forecast,445095
2026-12-07,forecast,613019
2026-12-08,forecast,615709
2026-12-09,forecast,611159
2026-12-10,forecast,607867
2026-12-11,forecast,594155
2026-12-12,forecast,454415
2026-12-13,forecast,439725
2026-12-14,forecast,605012
2026-12-15,forecast,607188
2026-12-16,forecast,602207
2026-12-17,forecast,598459
2026-12-18,forecast,584419
2026-12-19,forecast,445968
2026-12-20,forecast,430949
2026-12-21,forecast,593602
2026-12-22,forecast,595241
2026-12-23,forecast,589821
2026-12-24,forecast,585626
2026-12-25,forecast,571281
2026-12-26,forecast,434127
2026-12-27,forecast,418836
2026-12-28,forecast,578972
2026-12-29,forecast,580168
2026-12-30,forecast,574416
2026-12-31,forecast,569898
