submission_date,dau
2026-01-01,535938.0
2026-01-02,580354.0
2026-01-03,635241.0
2026-01-04,1214186.0
2026-01-05,1278963.0
2026-01-06,1270399.0
2026-01-07,1260743.0
2026-01-08,1259031.0
2026-01-09,1220573.0
2026-01-10,715124.0
2026-01-11,637932.0
2026-01-12,1273734.0
2026-01-13,1265782.0
2026-01-14,1266983.0
2026-01-15,1259868.0
2026-01-16,1218116.0
2026-01-17,717046.0
2026-01-18,643748.0
2026-01-19,1258909.0
2026-01-20,1238940.0
2026-01-21,1229211.0
2026-01-22,1221801.0
2026-01-23,1187181.0
2026-01-24,703168.0
2026-01-25,626185.0
2026-01-26,1236597.0
2026-01-27,1231135.0
2026-01-28,1220325.0
2026-01-29,1219398.0
2026-01-30,1191134.0
2026-01-31,734434.0
2026-02-01,647192.0
2026-02-02,1220843.0
2026-02-03,1204576.0
2026-02-04,1197111.0
2026-02-05,1188061.0
2026-02-06,1147031.0
2026-02-07,703428.0
2026-02-08,622166.0
2026-02-09,1106589.0
2026-02-10,1064974.0
2026-02-11,999814.0
2026-02-12,925780.0
2026-02-13,813034.0
2026-02-14,614951.0
2026-02-15,411825.0
2026-02-16,342083.0
2026-02-17,319077.0
2026-02-18,321240.0
2026-02-19,338825.0
2026-02-20,363173.0
2026-02-21,387572.0
2026-02-22,431387.0
2026-02-23,522594.0
2026-02-24,995208.0
2026-02-25,1072777.0
2026-02-26,1138205.0
2026-02-27,1169962.0
2026-02-28,1121309.0
2026-03-01,695415.0
2026-03-02,1268706.0
2026-03-03,1215254.0
2026-03-04,1277523.0
2026-03-05,1305115.0
2026-03-06,1265621.0
2026-03-07,750670.0
2026-03-08,677922.0
2026-03-09,1352039.0
2026-03-10,1352883.0
2026-03-11,1343687.0
2026-03-12,1347295.0
2026-03-13,1305964.0
2026-03-14,765764.0
2026-03-15,694514.0
2026-03-16,1366121.0
2026-03-17,1362946.0
2026-03-18,1359887.0
2026-03-19,1353837.0
2026-03-20,1293760.0
2026-03-21,758626.0
2026-03-22,692622.0
2026-03-23,1380623.0
2026-03-24,1378111.0
2026-03-25,1370981.0
2026-03-26,1365993.0
2026-03-27,1320047.0
2026-03-28,774526.0
2026-03-29,700440.0
2026-03-30,1384701.0
2026-03-31,1389353.0
2026-04-01,1374465.0
2026-04-02,1352981.0
2026-04-03,1274463.0
2026-04-04,629380.0
2026-04-05,562837.0
2026-04-06,708891.0
2026-04-07,1393388.0
2026-04-08,1399093.0
2026-04-09,1394526.0
2026-04-10,1369793.0
2026-04-11,805347.0
2026-04-12,714876.0
2026-04-13,1396098.0
2026-04-14,1397280.0
2026-04-15,1391964.0
2026-04-16,1381360.0
2026-04-17,1323576.0
2026-04-18,780314.0
2026-04-19,710158.0
2026-04-20,1389725.0
2026-04-21,1394837.0
2026-04-22,1389984.0
2026-04-23,1379428.0
2026-04-24,1343393.0
2026-04-25,807450.0
2026-04-26,722687.0
2026-04-27,1398987.0
2026-04-28,1391251.0
2026-04-29,1370226.0
2026-04-30,1283249.0
2026-05-01,602242.0
2026-05-02,568652.0
2026-05-03,575051.0
2026-05-04,641483.0
2026-05-05,756272.0
2026-05-06,1401690.0
2026-05-07,1414878.0
2026-05-08,1400201.0
2026-05-09,1303749.0
2026-05-10,737634.0
2026-05-11,1409688.0
2026-05-12,1402044.0
2026-05-13,1396619.0
2026-05-14,1391325.0
2026-05-15,1350108.0
2026-05-16,793620.0
2026-05-17,721295.0
2026-05-18,1409025.0
2026-05-19,1409077.0
2026-05-20,1398529.0
2026-05-21,1401916.0
2026-05-22,1367077.0
2026-05-23,810725.0
2026-05-24,723963.0
2026-05-25,1420493.0
2026-05-26,1413821.0
2026-05-27,1389625.0
2026-05-28,1388189.0
2026-05-29,1357116.0
2026-05-30,807778.0
2026-05-31,739651.0
2026-06-01,1383041.0
2026-06-02,1425447.0
2026-06-03,1584003.0
2026-06-04,1837279.0
2026-06-05,1940780.0
2026-06-06,1191767.0
2026-06-07,1079114.0
2026-06-08,2105858.0
2026-06-09,2128643.0
2026-06-10,2151210.0
2026-06-11,2183910.0
2026-06-12,2136221.0
2026-06-13,1281816.0
2026-06-14,1176064.0
2026-06-15,2239681.0
2026-06-16,2210023.0
2026-06-17,2236525.0
2026-06-18,2163827.0
2026-06-19,1037797.0
2026-06-20,1075983.0
2026-06-21,1199670.0
2026-06-22,2311960.0
2026-06-23,2316152.0
2026-06-24,2315559.0
