country,baseline,recent
??,21.5,4.071428571428571
AD,1.0,0.0
AE,166.07142857142856,32.285714285714285
AF,0.9999999999999998,0.07142857142857144
AG,0.0,0.0
AI,0.0,0.0
AL,2.642857142857143,0.642857142857143
AM,13.071428571428571,1.6428571428571428
AO,26.07142857142857,4.642857142857142
AQ,1.0,0.07142857142857142
AR,51.642857142857146,10.571428571428575
AS,0.08333333333333334,0.0
AT,39.714285714285715,10.285714285714286
AU,1056.1428571428573,179.35714285714286
AW,0.0,0.0
AZ,4.928571428571428,0.2857142857142857
BA,4.999999999999999,1.2857142857142856
BB,0.8571428571428572,0.2857142857142857
BD,47.42857142857142,7.142857142857142
BE,38.642857142857146,8.214285714285715
BF,0.8571428571428572,0.14285714285714288
BG,6.142857142857142,0.5714285714285715
BH,1.2857142857142856,0.6153846153846153
BI,0.14285714285714285,0.0
BJ,4.7142857142857135,0.0
BM,0.2307692307692308,0.0
BN,8.071428571428573,1.2857142857142856
BO,6.142857142857143,0.14285714285714288
BR,128.35714285714286,24.21428571428572
BS,0.14285714285714282,0.0
BT,0.6428571428571429,0.07142857142857144
BW,7.2857142857142865,0.8571428571428572
BY,23.785714285714285,4.0
BZ,1.0,0.0
CA,890.5,144.07142857142856
CD,42.357142857142854,4.5
CF,1.0,0.0
CG,2.0714285714285716,0.14285714285714288
CH,65.57142857142857,9.428571428571427
CI,39.42857142857143,4.642857142857142
CK,1.0,0.0
CL,30.642857142857142,6.000000000000001
CM,8.0,2.142857142857143
CN,976787.9285714285,242980.78571428574
CO,10.214285714285717,1.2857142857142856
CR,18.57142857142857,1.3571428571428572
CU,0.5714285714285714,0.0
CV,1.0,0.14285714285714288
CY,43.785714285714285,1.3571428571428568
CZ,43.85714285714286,7.7142857142857135
DE,1168.0714285714287,206.71428571428572
DJ,1.1428571428571428,0.8571428571428571
DK,19.357142857142858,3.642857142857143
DM,0.4285714285714286,0.07142857142857144
DO,3.357142857142857,0.9285714285714287
DZ,16.71428571428571,1.1428571428571428
EC,13.000000000000002,4.214285714285714
EE,21.357142857142858,3.285714285714285
EG,54.857142857142854,10.642857142857142
ER,0.5,0.33333333333333337
ES,214.7142857142857,31.21428571428571
ET,15.785714285714285,2.071428571428571
FI,47.42857142857143,10.071428571428571
FJ,1.8571428571428572,0.3571428571428571
FK,0.0,0.0
FM,0.7142857142857143,0.0
FO,0.2,0.0
FR,374.9285714285714,76.57142857142857
GA,2.5714285714285716,0.07142857142857144
GB,1051.5714285714284,172.49999999999997
GD,1.0,0.0
GE,4.928571428571429,1.2857142857142858
GF,0.21428571428571425,0.0
GH,15.642857142857142,4.785714285714286
GL,0.14285714285714288,0.0
GM,1.357142857142857,0.21428571428571427
GN,23.142857142857146,3.0
GQ,1.8571428571428572,1.142857142857143
GR,17.21428571428571,2.3571428571428568
GT,1.2142857142857142,1.0
GU,0.49999999999999994,0.0
GW,0.0,0.0
GY,5.357142857142857,0.21428571428571433
HK,23713.0,4937.285714285716
HN,1.5,0.14285714285714288
HR,1.7857142857142858,0.07142857142857142
HT,0.0,0.0
HU,32.42857142857143,5.857142857142857
ID,309.3571428571429,55.42857142857143
IE,37.42857142857144,6.928571428571428
IL,14.07142857142857,2.142857142857143
IM,1.0,0.0
