week,Total Paid DAU,Pre-2026 DAU,2026 DAU,IN,US,BR,DE,ID,FR,MX,GB,IT,ES,PH,CA,PL,CO,NG,AR,ZA,EC,TR,NL,CL,AU,TH,GR,VN,FI,AT,SE,CH,BE,PT,KR,SG,GT,TW,NZ,NO,DK,MY,IE,PA,HR,SV,SI,AL,MK,XK,LU
Week 11,"922,783","560,365","362,419","73,246","46,956","35,103","31,128","12,155","19,002","16,498","11,317","10,080","10,365","4,470","7,189","7,793","6,730","3,968","5,833","1,735","3,909","5,954","6,036","3,843","4,700","2,861","2,943","2,224","2,290","2,586","2,249","2,460","2,500","1,684","1,983","1,892","1,116","1,354","1,280","1,120",902,237,559,675,305,785,167,144,41,52,0
Week 12,"937,448","554,531","382,917","77,540","49,937","34,099","33,501","12,784","20,700","16,795","12,135","10,439","10,632","5,167","7,908","8,409","7,036","4,590","6,198","2,127","4,102","6,500","6,335","4,157","5,030","2,997","3,071","2,356","2,441","2,708","2,351","2,640","2,695","1,838","1,994","2,018","1,168","1,439","1,344","1,194",942,350,664,711,413,821,238,213,106,85,0
Week 13,"957,765","542,025","415,740","85,260","53,410","36,844","35,673","14,796","22,225","18,337","13,057","11,360","11,589","5,746","8,536","9,099","7,266","5,659","6,581","2,637","4,476","6,921","6,822","4,540","5,243","3,140","3,300","2,532","2,575","2,893","2,511","2,839","2,866","1,976","2,141","2,166","1,237","1,553","1,424","1,254","1,022",432,804,736,506,873,303,277,184,117,0
Week 14,"993,945","539,665","454,280","94,420","56,876","41,958","37,858","18,085","23,608","19,151","13,942","12,460","12,917","6,603","9,146","9,785","8,112","6,815","7,089","3,260","5,094","7,278","7,454","4,853","4,651","3,283","3,597","2,754","2,791","3,071","2,666","3,061","3,025","2,135","2,243","2,391","1,385","1,620","1,568","1,352","1,109",497,937,799,629,931,354,328,208,133,0
Week 15,"1,032,487","536,825","495,662","108,020","59,978","44,522","40,159","23,144","24,880","21,507","14,744","13,612","13,875","7,514","9,966","10,317","8,552","7,395","7,431","3,672","5,330","7,818","8,111","5,074","4,444","3,397","3,862","2,990","2,919","3,258","2,827","3,276","3,172","2,230","2,329","2,587","1,441","1,725","1,679","1,448","1,156",554,"1,043",838,740,967,404,364,243,150,0
Week 16,"1,076,970","526,469","550,502","125,303","65,505","49,612","42,201","28,865","26,256","23,061","15,553","14,492","14,334","8,285","10,756","11,159","9,540","9,389","8,192","4,812","5,652","8,794","8,482","5,594","4,268","4,099","4,511","3,535","3,108","3,433","3,026","3,507","3,321","2,439","2,467","3,012","1,486","1,834","1,816","1,547","1,250",701,"1,134","1,015",850,"1,053",440,380,270,163,0
Week 17,"1,102,890","519,571","583,319","135,197","69,216","50,715","43,936","29,928","27,487","23,899","16,437","15,212","15,186","9,459","11,315","11,911","10,469","9,445","8,976","5,538","6,116","9,444","8,874","6,135","4,113","4,616","4,820","3,840","3,294","3,555","3,307","3,799","3,491","2,574","2,827","3,185","1,560","1,952","1,986","1,580","1,325",899,"1,228","1,045",898,"1,141",495,421,282,189,0
Week 18,"1,132,425","519,620","612,805","142,418","75,214","50,284","45,904","34,780","28,817","23,384","16,894","16,380","15,858","9,527","11,342","13,038","10,677","9,558","9,308","6,113","6,115","9,480","9,190","6,616","5,005","4,914","4,775","4,045","3,426","3,739","3,411","3,981","3,660","2,769","3,065","3,303","1,541","1,980","2,020","1,637","1,416","1,065","1,305","1,164","1,007","1,165",566,453,295,202,0
Week 19,"1,214,612","512,472","702,140","184,758","80,142","56,368","47,626","44,709","30,026","25,938","17,825","17,909","16,513","11,605","12,302","13,789","11,659","11,474","9,921","9,151","6,591","10,041","9,691","7,008","5,262","5,527","5,240","4,255","3,686","3,903","3,640","4,239","3,891","2,951","3,231","3,718","1,782","2,099","2,193","1,603","1,472","1,350","1,405","1,286","1,118","1,456",648,517,380,243,0
Week 20,"1,262,532","506,276","756,256","211,766","84,453","58,719","49,648","48,077","31,108","27,298","18,643","18,650","17,020","12,541","13,124","14,151","12,211","12,111","10,311","10,551","6,852","10,235","9,949","7,341","5,762","5,880","5,438","4,433","3,863","4,117","3,819","4,440","4,087","3,084","3,686","3,901","1,942","2,191","2,385","1,700","1,562","1,519","1,500","1,350","1,226","1,613",698,594,428,280,0
Week 21,"1,297,339","496,604","800,736","227,582","89,350","61,379","51,357","52,393","32,305","28,125","19,802","19,503","17,583","13,505","13,970","14,737","12,760","12,420","10,679","11,593","7,158","10,298","10,441","7,689","6,278","6,358","5,692","4,595","4,106","4,290","4,040","4,651","4,236","3,205","3,984","4,133","2,125","2,300","2,580","1,832","1,624","1,766","1,603","1,412","1,319","1,831",752,639,452,300,0
Week 22,"1,354,495","490,822","863,673","249,687","94,231","64,903","53,595","61,197","33,802","29,607","21,197","20,456","18,222","14,654","14,622","15,464","13,515","13,765","11,285","13,701","8,178","10,945","10,988","8,141","6,657","6,828","5,960","4,860","4,294","4,494","4,216","4,936","4,496","3,351","4,101","4,420","2,367","2,427","2,757","1,931","1,701","2,124","1,939","1,610","1,446","2,180",838,719,523,341,0
Week 23,"1,390,880","485,185","905,695","254,945","100,906","69,346","55,949","61,137","35,387","32,101","22,267","21,382","19,058","15,550","15,650","16,522","14,568","15,004","12,519","15,941","8,753","11,334","11,613","8,710","7,130","7,588","6,205","5,146","4,650","4,734","4,508","5,184","4,745","3,565","4,303","4,748","2,629","2,550","2,970","2,069","1,774","2,232","2,105","1,703","1,556","2,368",898,764,548,384,0
Week 24,"1,421,896","479,685","942,211","267,794","104,373","70,984","57,854","66,468","36,757","33,466","22,875","21,913","19,418","16,015","16,204","16,728","15,165","15,349","12,660","16,434","9,357","11,403","11,974","8,835","7,389","7,845","6,380","5,600","4,837","4,873","4,670","5,316","4,899","3,633","4,571","4,879","2,800","2,598","3,047","2,173","1,821","2,425","2,012","1,764","1,544","2,486",901,826,521,374,0
Week 25,"1,440,576","474,314","966,261","274,359","107,360","72,405","59,220","69,028","37,676","34,398","23,352","22,342","19,701","16,401","16,661","17,004","15,580","15,586","12,930","17,204","9,832","11,487","12,230","9,015","7,614","8,074","6,503","5,705","4,999","4,984","4,790","5,443","5,025","3,696","4,709","4,971","2,925","2,638","3,122","2,231","1,848","2,539","2,045","1,806","1,565","2,579",917,858,524,381,0
Week 26,"1,458,112","469,067","989,044","280,439","110,234","73,743","60,541","71,402","38,552","35,260","23,816","22,762","19,977","16,777","17,102","17,281","15,974","15,818","13,193","17,948","10,275","11,577","12,474","9,193","7,831","8,294","6,625","5,792","5,157","5,092","4,906","5,568","5,147","3,758","4,837","5,059","3,042","2,677","3,196","2,285","1,874","2,648","2,080","1,847","1,588","2,666",933,888,529,388,0
Week 27,"1,405,105","463,937","941,168","261,234","106,184","70,292","59,279","61,214","37,274","33,354","23,448","22,035","19,416","17,461","16,875","16,796","15,888","15,911","13,406","16,138","10,918","11,451","11,789","9,606","8,122","8,217","6,512","5,794","5,248","4,928","4,749","5,225","4,908","3,812","4,302","4,429","3,317","2,720","3,028","2,180","1,894","2,261","1,921","1,717","1,541","2,044",898,698,439,292,2
Week 28,"1,406,954","458,919","948,035","262,822","106,448","70,575","59,769","60,387","37,434","33,424","23,757","22,137","19,586","18,181","17,107","16,877","16,266","16,386","13,784","16,133","11,448","11,605","11,778","9,981","8,462","8,421","6,592","6,024","5,401","4,962","4,773","5,140","4,900","3,916","4,254","4,322","3,531","2,787","3,001","2,190","1,945","2,217","1,919","1,725","1,544","1,890",893,660,412,268,3
Week 29,"1,411,269","454,008","957,262","265,298","106,964","71,041","60,331","60,044","37,666","33,598","24,091","22,283","19,786","18,859","17,358","16,989","16,643","16,818","14,149","16,216","11,944","11,764","11,803","10,336","8,792","8,626","6,678","6,244","5,554","5,005","4,806","5,070","4,905","4,018","4,234","4,250","3,729","2,852","2,982","2,206","1,995","2,191","1,919","1,739","1,551","1,768",889,631,391,249,3
Week 30,"1,416,569","449,198","967,370","268,076","107,605","71,577","60,927","59,937","37,930","33,817","24,434","22,449","19,998","19,501","17,614","17,115","17,011","17,210","14,500","16,342","12,412","11,922","11,846","10,674","9,113","8,828","6,768","6,453","5,705","5,052","4,842","5,009","4,917","4,118","4,230","4,197","3,913","2,916","2,967","2,223","2,045","2,176","1,920","1,756","1,558","1,665",887,609,372,233,4
Week 31,"1,422,319","444,486","977,833","270,955","108,316","72,142","61,541","59,969","38,214","34,059","24,779","22,626","20,215","20,109","17,873","17,249","17,366","17,567","14,835","16,491","12,855","12,077","11,898","10,998","9,425","9,024","6,858","6,650","5,853","5,101","4,881","4,954","4,932","4,216","4,233","4,157","4,087","2,978","2,955","2,242","2,094","2,166","1,922","1,774","1,567","1,574",886,590,356,219,5
