date,dau
2026-06-01,53210026
2026-06-02,55924628
2026-06-03,56031361
2026-06-04,51540405
2026-06-05,50820466
2026-06-06,37104698
2026-06-07,34686018
2026-06-08,55455317
2026-06-09,57438915
2026-06-10,56947409
2026-06-11,55912782
2026-06-12,52166586
2026-06-13,37011506
2026-06-14,34815815
2026-06-15,55024552
2026-06-16,55679971
2026-06-17,56040193
2026-06-18,55128479
2026-06-19,49886559
2026-06-20,36078430
2026-06-21,33660288
2026-06-22,54379412
2026-06-23,55535893
2026-06-24,53944417
2026-06-25,54055606
2026-06-26,49839829
2026-06-27,36300065
2026-06-28,33784281
2026-06-29,53157759
2026-06-30,55762071
2026-07-01,55247694
2026-07-02,54110652
2026-07-03,50061962
2026-07-04,35502938
2026-07-05,32916506
2026-07-06,52401146
2026-07-07,54473872
2026-07-08,53995977
2026-07-09,52821951
2026-07-10,49926471
2026-07-11,35711845
2026-07-12,32956687
2026-07-13,51448633
2026-07-14,52743986
2026-07-15,53168399
2026-07-16,52127012
2026-07-17,49384002
2026-07-18,35931914
2026-07-19,33034411
2026-07-20,50989228
2026-07-21,53006162
2026-07-22,53064739
2026-07-23,52210751
2026-07-24,49030120
2026-07-25,35428559
2026-07-26,32945212
2026-07-27,51669205
