submission_date,type,dau,dau_28ma
2026-09-18,forecast,897566,790528.0
2026-09-19,forecast,859439,802687.0
2026-09-20,forecast,525320,804585.0
2026-09-21,forecast,494698,790841.0
2026-09-22,forecast,909734,791940.0
2026-09-23,forecast,911313,793110.0
2026-09-24,forecast,849729,791889.0
2026-09-25,forecast,894358,793027.0
2026-09-26,forecast,854318,803918.0
2026-09-27,forecast,535170,804978.0
2026-09-28,forecast,821672,801641.0
2026-09-29,forecast,844216,799130.0
2026-09-30,forecast,788506,794556.0
2026-10-01,forecast,402978,776212.0
2026-10-02,forecast,374962,757291.0
2026-10-03,forecast,353726,738871.0
2026-10-04,forecast,347817,732149.0
2026-10-05,forecast,352523,726629.0
2026-10-06,forecast,338193,705710.0
2026-10-07,forecast,420377,687795.0
2026-10-08,forecast,492197,672936.0
2026-10-09,forecast,850456,670834.0
2026-10-10,forecast,842740,669740.0
2026-10-11,forecast,798829,679278.0
2026-10-12,forecast,502873,679236.0
2026-10-13,forecast,844647,676340.0
2026-10-14,forecast,872599,674682.0
2026-10-15,forecast,865301,673081.0
2026-10-16,forecast,851683,671442.0
2026-10-17,forecast,819362,670011.0
2026-10-18,forecast,506741,669347.0
2026-10-19,forecast,467054,668360.0
2026-10-20,forecast,842561,665961.0
2026-10-21,forecast,862603,664221.0
2026-10-22,forecast,843759,664008.0
2026-10-23,forecast,844169,662215.0
2026-10-24,forecast,806208,660497.0
2026-10-25,forecast,501896,659309.0
2026-10-26,forecast,458845,646351.0
2026-10-27,forecast,827537,645755.0
2026-10-28,forecast,840284,647604.0
2026-10-29,forecast,845965,663425.0
2026-10-30,forecast,855925,680602.0
2026-10-31,forecast,838112,697902.0
2026-11-01,forecast,506338,703563.0
2026-11-02,forecast,452401,707131.0
2026-11-03,forecast,821445,724390.0
2026-11-04,forecast,821334,738709.0
2026-11-05,forecast,836327,751000.0
2026-11-06,forecast,833051,750378.0
2026-11-07,forecast,798190,748787.0
2026-11-08,forecast,496468,737988.0
2026-11-09,forecast,457279,736360.0
2026-11-10,forecast,833456,735960.0
2026-11-11,forecast,832284,734521.0
2026-11-12,forecast,816165,732766.0
2026-11-13,forecast,789789,730555.0
2026-11-14,forecast,753616,728207.0
2026-11-15,forecast,449109,726149.0
2026-11-16,forecast,425763,724674.0
2026-11-17,forecast,795006,722976.0
2026-11-18,forecast,788140,720316.0
2026-11-19,forecast,776584,717917.0
2026-11-20,forecast,766393,715140.0
2026-11-21,forecast,732996,712525.0
2026-11-22,forecast,452061,710745.0
2026-11-23,forecast,418826,709316.0
2026-11-24,forecast,780900,707650.0
2026-11-25,forecast,778895,705458.0
2026-11-26,forecast,770747,702771.0
2026-11-27,forecast,759355,699322.0
2026-11-28,forecast,747000,696068.0
2026-11-29,forecast,439259,693673.0
2026-11-30,forecast,423390,692637.0
2026-12-01,forecast,776952,691048.0
2026-12-02,forecast,782891,689675.0
2026-12-03,forecast,775709,687510.0
2026-12-04,forecast,774470,685418.0
2026-12-05,forecast,733661,683113.0
2026-12-06,forecast,437074,680992.0
2026-12-07,forecast,407871,679227.0
2026-12-08,forecast,768242,676898.0
2026-12-09,forecast,770097,674677.0
2026-12-10,forecast,766881,672917.0
2026-12-11,forecast,764069,671998.0
2026-12-12,forecast,728938,671117.0
2026-12-13,forecast,438282,670730.0
2026-12-14,forecast,407639,670083.0
2026-12-15,forecast,760177,668839.0
2026-12-16,forecast,751072,667515.0
2026-12-17,forecast,743631,666338.0
2026-12-18,forecast,736121,665257.0
2026-12-19,forecast,705770,664285.0
2026-12-20,forecast,425121,663323.0
2026-12-21,forecast,392167,662371.0
2026-12-22,forecast,738900,660871.0
2026-12-23,forecast,740633,659504.0
2026-12-24,forecast,730958,658083.0
2026-12-25,forecast,717103,656574.0
2026-12-26,forecast,689951,654537.0
2026-12-27,forecast,423444,653972.0
2026-12-28,forecast,397309,653040.0
2026-12-29,forecast,717916,650932.0
2026-12-30,forecast,710095,648332.0
2026-12-31,forecast,659152,644169.0
