submission_date,type,dau,dau_28ma
2026-06-01,actuals,0,0.0
2026-06-02,actuals,20960,749.0
2026-06-03,actuals,200650,7915.0
2026-06-04,actuals,479070,25024.0
2026-06-05,actuals,636770,47766.0
2026-06-06,actuals,433100,63234.0
2026-06-07,actuals,410660,77900.0
2026-06-08,actuals,772490,105489.0
2026-06-09,actuals,804150,134209.0
2026-06-10,actuals,821340,163542.0
2026-06-11,actuals,841050,193580.0
2026-06-12,actuals,830420,223238.0
2026-06-13,actuals,511950,241522.0
2026-06-14,actuals,477670,258581.0
2026-06-15,actuals,877520,289921.0
2026-06-16,actuals,870420,321008.0
2026-06-17,actuals,899200,353122.0
2026-06-18,actuals,882520,384641.0
2026-06-19,actuals,437840,400278.0
2026-06-20,actuals,455230,416536.0
2026-06-21,actuals,510360,434763.0
2026-06-22,actuals,955080,468873.0
2026-06-23,actuals,962480,503248.0
2026-06-24,actuals,960060,537535.0
2026-06-25,actuals,984570,572699.0
2026-06-26,actuals,929440,605893.0
2026-06-27,actuals,578960,626570.0
2026-06-28,actuals,526170,645362.0
2026-06-29,actuals,972080,680079.0
2026-06-30,actuals,973950,714114.0
2026-07-01,actuals,967060,741486.0
2026-07-02,actuals,956860,758550.0
2026-07-03,actuals,929040,768988.0
2026-07-04,actuals,569660,773865.0
2026-07-05,actuals,514010,777556.0
2026-07-06,actuals,952390,783981.0
2026-07-07,actuals,946950,789081.0
2026-07-08,actuals,936470,793193.0
2026-07-09,actuals,926670,796251.0
2026-07-10,actuals,900410,798751.0
2026-07-11,actuals,558320,800407.0
2026-07-12,actuals,503950,801345.0
2026-07-13,actuals,929820,803213.0
2026-07-14,actuals,927840,805264.0
2026-07-15,actuals,920920,806040.0
2026-07-16,actuals,901050,806701.0
2026-07-17,actuals,873710,822268.0
2026-07-18,actuals,538930,825258.0
2026-07-19,actuals,486980,824422.0
2026-07-20,actuals,894840,822271.0
2026-07-21,actuals,897680,819957.0
2026-07-22,actuals,895720,817659.0
2026-07-23,actuals,893060,814391.0
2026-07-24,actuals,868420,812211.0
2026-07-25,actuals,536850,810708.0
2026-07-26,actuals,481120,809099.0
2026-07-27,actuals,889180,806138.0
2026-07-28,actuals,886560,803017.0
2026-07-29,actuals,880940,799941.0
2026-07-30,actuals,878410,797139.0
2026-07-31,actuals,859360,794651.0
2026-08-01,actuals,533120,793346.0
2026-08-02,actuals,476420,792003.0
2026-08-03,actuals,877810,789340.0
2026-08-04,actuals,877300,786852.0
2026-08-05,actuals,872900,784582.0
2026-08-06,actuals,862390,782286.0
2026-08-07,actuals,837930,780055.0
2026-08-08,actuals,522280,778768.0
2026-08-09,actuals,467760,777475.0
2026-08-10,actuals,854140,774772.0
2026-08-11,actuals,861600,772406.0
2026-08-12,actuals,854350,770029.0
2026-08-13,actuals,857910,768488.0
2026-08-14,actuals,833150,767040.0
2026-08-15,actuals,520230,766372.0
2026-08-16,actuals,464400,765565.0
2026-08-17,actuals,866180,764542.0
2026-08-18,actuals,860010,763196.0
2026-08-19,actuals,854430,761722.0
2026-08-20,actuals,860600,760562.0
2026-08-21,actuals,840280,759558.0
2026-08-22,actuals,518970,758919.0
2026-08-23,actuals,472170,758599.0
2026-08-24,actuals,879550,758255.0
2026-08-25,actuals,878950,757984.0
2026-08-26,actuals,878570,757899.0
2026-08-27,actuals,883910,758095.0
2026-08-28,actuals,862490,758207.0
2026-08-29,actuals,549380,758788.0
2026-08-30,actuals,505490,759826.0
2026-08-31,actuals,915090,761158.0
2026-09-01,forecast,914539,762487.0
2026-09-02,forecast,916569,764047.0
2026-09-03,forecast,916607,765983.0
2026-09-04,forecast,904752,768370.0
2026-09-05,forecast,869495,780770.0
2026-09-06,forecast,536012,783208.0
2026-09-07,forecast,507105,770814.0
2026-09-08,forecast,923905,773039.0
2026-09-09,forecast,921999,775455.0
2026-09-10,forecast,908259,777253.0
2026-09-11,forecast,909297,779973.0
2026-09-12,forecast,873378,792585.0
2026-09-13,forecast,531779,794992.0
2026-09-14,forecast,504051,782058.0
2026-09-15,forecast,925724,784405.0
2026-09-16,forecast,919016,786712.0
2026-09-17,forecast,910149,788482.0
