date,uac_actual,uac_forecast,uac_meta_actual,uac_meta_forecast
2026-01-05,639598.0,,,
2026-01-12,654717.0,,,
2026-01-19,665564.0,,,
2026-01-26,678440.0,,,
2026-02-02,700653.0,,,
2026-02-09,709362.0,,,
2026-02-16,721985.0,,,
2026-02-23,735236.0,,,
2026-03-02,748603.0,,,
2026-03-09,764431.0,,,
2026-03-16,776354.0,,,
2026-03-23,738307.0,,,
2026-03-30,800831.0,,,
2026-04-06,842607.0,,,
2026-04-13,879464.0,,,
2026-04-20,904848.0,,,
2026-04-27,947360.0,,,
2026-05-04,970351.0,,970356.0,
2026-05-11,1062184.0,,1066598.0,
2026-05-18,1107303.0,,1119770.0,
2026-05-25,1146612.0,,1160357.0,
2026-06-01,1202533.0,,1216320.0,
2026-06-08,1238585.0,,1248198.0,
2026-06-15,1290909.0,,1309804.0,
2026-06-22,1334793.0,,1355714.0,
2026-06-29,1346515.0,,1366845.0,
2026-07-06,1375856.0,,1393807.0,
2026-07-13,1412692.0,,1430073.0,
2026-07-20,1451025.0,,1468612.0,
2026-07-27,1456461.0,,1473716.0,
2026-08-03,1487184.0,,1504599.0,
2026-08-10,1515952.0,,1533864.0,
2026-08-17,1545317.0,,1566227.0,
2026-08-24,1575464.0,1575464.0,1597711.0,1597711.0
2026-08-31,,1601629.0,,1623069.0
2026-09-07,,1639204.0,,1661107.0
2026-09-14,,1675857.0,,1698202.0
2026-09-21,,1694262.0,,1717037.0
2026-09-28,,1697843.0,,1721026.0
2026-10-05,,1696775.0,,1720358.0
2026-10-12,,1712778.0,,1736748.0
2026-10-19,,1729376.0,,1753721.0
2026-10-26,,1746399.0,,1771109.0
2026-11-02,,1763433.0,,1788501.0
2026-11-09,,1780299.0,,1805714.0
2026-11-16,,1796840.0,,1822591.0
2026-11-23,,1813280.0,,1839358.0
2026-11-30,,1829678.0,,1856077.0
2026-12-07,,1845745.0,,1872459.0
2026-12-14,,1861685.0,,1888703.0
2026-12-21,,1877481.0,,1904795.0
