driver,compensator,steps_compensator,net_trough_gain,driver_trough,driver_dec,comp_trough,comp_dec,plausible
changepoint_range,holiday_effect_floor,123.89679154630382,491907.5424279595,35034.83583982289,-89133.04092799872,3687.5265362896025,719.4136330373585,False
changepoint_range,holiday_max_radius,-8.27450608157531,363008.6654087049,35034.83583982289,-89133.04092799872,-39636.66548015177,-10772.007422469556,False
changepoint_range,n_changepoints,9.712223272370645,138706.30677261468,35034.83583982289,-89133.04092799872,10674.32945324853,9177.408552948385,False
changepoint_range,holiday_min_radius,-4.472993685593364,104731.19447359664,35034.83583982289,-89133.04092799872,-15581.591107148677,-19926.931981835514,True
holiday_min_radius,holiday_effect_floor,27.698852324641347,86558.66186473324,-15581.591107148677,-19926.931981835514,3687.5265362896025,719.4136330373585,False
n_changepoints,holiday_threshold,3.3615942022531384,59235.75645190934,10674.32945324853,9177.408552948385,14445.951556589454,-2730.0762676224113,True
holiday_min_radius,holiday_max_radius,-1.8498810110610868,57741.52370636456,-15581.591107148677,-19926.931981835514,-39636.66548015177,-10772.007422469556,True
changepoint_range,seasonality_corr_threshold,56.516299034894566,49306.72921384279,35034.83583982289,-89133.04092799872,252.52703410759568,1577.120980143547,False
changepoint_prior_scale,holiday_effect_floor,9.735169414390061,46121.2448783049,10222.549327466637,-7003.613596640527,3687.5265362896025,719.4136330373585,False
recent_weeks,holiday_effect_floor,9.196668859278597,36582.549039454745,2669.588575396687,-6616.208955895156,3687.5265362896025,719.4136330373585,False
changepoint_prior_scale,holiday_max_radius,-0.650167914109634,35993.03744495825,10222.549327466637,-7003.613596640527,-39636.66548015177,-10772.007422469556,True
holiday_threshold,holiday_effect_floor,3.794863124981454,28439.610031545453,14445.951556589454,-2730.0762676224113,3687.5265362896025,719.4136330373585,True
recent_weeks,holiday_max_radius,-0.614203898717547,27014.583045469117,2669.588575396687,-6616.208955895156,-39636.66548015177,-10772.007422469556,True
holiday_threshold,holiday_max_radius,-0.253441736581771,24491.536888189854,14445.951556589454,-2730.0762676224113,-39636.66548015177,-10772.007422469556,True
n_changepoints,changepoint_prior_scale,1.3103819087550144,24069.77315331655,10674.32945324853,9177.408552948385,10222.549327466637,-7003.613596640527,True
n_changepoints,seasonality_prior_scale,3.0444030053919002,19034.20868170851,10674.32945324853,9177.408552948385,2745.983108561486,-3014.518293634057,True
changepoint_prior_scale,n_changepoints,0.76313629890548,18368.517599716477,10222.549327466637,-7003.613596640527,10674.32945324853,9177.408552948385,True
seasonality_prior_scale,holiday_effect_floor,4.190243491643027,18197.61717750995,2745.983108561486,-3014.518293634057,3687.5265362896025,719.4136330373585,True
holiday_threshold,n_changepoints,0.29747790477795955,17621.32871725149,14445.951556589454,-2730.0762676224113,10674.32945324853,9177.408552948385,True
holiday_threshold,holiday_min_radius,-0.1370043451802327,16580.697243090497,14445.951556589454,-2730.0762676224113,-15581.591107148677,-19926.931981835514,True
changepoint_prior_scale,holiday_min_radius,-0.3514647213642674,15698.928904352593,10222.549327466637,-7003.613596640527,-15581.591107148677,-19926.931981835514,True
holiday_max_radius,holiday_effect_floor,14.97331566680246,15577.833377423143,-39636.66548015177,-10772.007422469556,3687.5265362896025,719.4136330373585,False
holiday_threshold,seasonality_corr_threshold,1.7310506308615108,14883.088638290994,14445.951556589454,-2730.0762676224113,252.52703410759568,1577.120980143547,True
n_changepoints,recent_weeks,1.3871098410172122,14377.342037648395,10674.32945324853,9177.408552948385,2669.588575396687,-6616.208955895156,True
n_changepoints,changepoint_range,0.10296303657318116,14281.622537159612,10674.32945324853,9177.408552948385,35034.83583982289,-89133.04092799872,True
seasonality_prior_scale,holiday_max_radius,-0.2798474021978494,13838.200974967134,2745.983108561486,-3014.518293634057,-39636.66548015177,-10772.007422469556,True
holiday_threshold,changepoint_range,-0.03062922838936635,13372.861568067561,14445.951556589454,-2730.0762676224113,35034.83583982289,-89133.04092799872,True
holiday_threshold,recent_weeks,-0.4126345292026889,13344.387131615766,14445.951556589454,-2730.0762676224113,2669.588575396687,-6616.208955895156,True
holiday_threshold,seasonality_prior_scale,-0.9056426273437055,11959.072199510394,14445.951556589454,-2730.0762676224113,2745.983108561486,-3014.518293634057,True
changepoint_prior_scale,seasonality_corr_threshold,4.440758625887451,11343.960932449718,10222.549327466637,-7003.613596640527,252.52703410759568,1577.120980143547,True
