driver,compensator,steps_compensator,net_trough_gain,driver_trough,driver_dec,comp_trough,comp_dec,plausible
holiday_threshold,changepoint_prior_scale,-0.389809664675385,10461.103031122102,14445.951556589454,-2730.0762676224113,10222.549327466637,-7003.613596640527,True
recent_weeks,n_changepoints,0.7209234412659546,10364.962898039154,2669.588575396687,-6616.208955895156,10674.32945324853,9177.408552948385,True
n_changepoints,seasonality_corr_threshold,-5.819089764510692,9204.851973810779,10674.32945324853,9177.408552948385,252.52703410759568,1577.120980143547,False
seasonality_corr_threshold,holiday_threshold,0.5776838540547593,8597.72000480654,252.52703410759568,1577.120980143547,14445.951556589454,-2730.0762676224113,True
recent_weeks,holiday_min_radius,-0.33202346261462584,7843.042407837452,2669.588575396687,-6616.208955895156,-15581.591107148677,-19926.931981835514,True
holiday_min_radius,n_changepoints,2.171302701287465,7595.609269122204,-15581.591107148677,-19926.931981835514,10674.32945324853,9177.408552948385,True
holiday_effect_floor,holiday_threshold,0.26351411554662785,7494.238683953705,3687.5265362896025,719.4136330373585,14445.951556589454,-2730.0762676224113,True
changepoint_prior_scale,changepoint_range,-0.07857483065452704,7469.693034343399,10222.549327466637,-7003.613596640527,35034.83583982289,-89133.04092799872,True
changepoint_prior_scale,recent_weeks,-1.058553870249244,7396.646009007309,10222.549327466637,-7003.613596640527,2669.588575396687,-6616.208955895156,True
seasonality_prior_scale,n_changepoints,0.32847162423270304,6252.197441665012,2745.983108561486,-3014.518293634057,10674.32945324853,9177.408552948385,True
seasonality_prior_scale,holiday_min_radius,-0.15127859604187713,5103.144335349536,2745.983108561486,-3014.518293634057,-15581.591107148677,-19926.931981835514,True
holiday_effect_floor,changepoint_prior_scale,0.10272034901846167,4737.590371065417,3687.5265362896025,719.4136330373585,10222.549327466637,-7003.613596640527,True
holiday_effect_floor,seasonality_prior_scale,0.2386496159458008,4342.854350541457,3687.5265362896025,719.4136330373585,2745.983108561486,-3014.518293634057,True
holiday_effect_floor,recent_weeks,0.10873502300684573,3977.804311454174,3687.5265362896025,719.4136330373585,2669.588575396687,-6616.208955895156,True
holiday_effect_floor,changepoint_range,0.008071234028899537,3970.3008955168903,3687.5265362896025,719.4136330373585,35034.83583982289,-89133.04092799872,True
changepoint_prior_scale,seasonality_prior_scale,-2.3232944419114947,3842.822033762888,10222.549327466637,-7003.613596640527,2745.983108561486,-3014.518293634057,True
recent_weeks,seasonality_corr_threshold,4.1951182180665425,3728.9693367357727,2669.588575396687,-6616.208955895156,252.52703410759568,1577.120980143547,True
holiday_effect_floor,seasonality_corr_threshold,-0.45615627595790315,3572.3347448323875,3687.5265362896025,719.4136330373585,252.52703410759568,1577.120980143547,True
n_changepoints,holiday_min_radius,0.46055301244135793,3498.180730221734,10674.32945324853,9177.408552948385,-15581.591107148677,-19926.931981835514,True
seasonality_prior_scale,seasonality_corr_threshold,1.9114058665047247,3228.6647630057832,2745.983108561486,-3014.518293634057,252.52703410759568,1577.120980143547,True
holiday_effect_floor,holiday_min_radius,0.03610257884621392,3124.9909147943017,3687.5265362896025,719.4136330373585,-15581.591107148677,-19926.931981835514,True
holiday_effect_floor,n_changepoints,-0.07838962697222798,2850.769832270784,3687.5265362896025,719.4136330373585,10674.32945324853,9177.408552948385,True
seasonality_corr_threshold,changepoint_prior_scale,0.2251867494374698,2554.5096881240006,252.52703410759568,1577.120980143547,10222.549327466637,-7003.613596640527,True
seasonality_corr_threshold,seasonality_prior_scale,0.5231751233601899,1689.157085674249,252.52703410759568,1577.120980143547,2745.983108561486,-3014.518293634057,True
seasonality_prior_scale,changepoint_range,-0.033820435859124025,1561.0896902058164,2745.983108561486,-3014.518293634057,35034.83583982289,-89133.04092799872,True
seasonality_prior_scale,recent_weeks,-0.4556262224680902,1529.6485504095233,2745.983108561486,-3014.518293634057,2669.588575396687,-6616.208955895156,True
holiday_effect_floor,holiday_max_radius,0.06678547505794681,1040.373002484745,3687.5265362896025,719.4136330373585,-39636.66548015177,-10772.007422469556,True
seasonality_corr_threshold,recent_weeks,0.23837230514588043,888.8830166160109,252.52703410759568,1577.120980143547,2669.588575396687,-6616.208955895156,True
seasonality_corr_threshold,changepoint_range,0.0176940107026926,872.4337944245002,252.52703410759568,1577.120980143547,35034.83583982289,-89133.04092799872,True
recent_weeks,changepoint_range,-0.07422846664953012,69.00643168863098,2669.588575396687,-6616.208955895156,35034.83583982289,-89133.04092799872,True
changepoint_range,recent_weeks,-13.471920479261716,-929.6491602668466,35034.83583982289,-89133.04092799872,2669.588575396687,-6616.208955895156,False
seasonality_corr_threshold,holiday_min_radius,0.07914519814596542,-980.6810814970991,252.52703410759568,1577.120980143547,-15581.591107148677,-19926.931981835514,True
seasonality_corr_threshold,n_changepoints,-0.17184818252826636,-1581.8370821411074,252.52703410759568,1577.120980143547,10674.32945324853,9177.408552948385,True
seasonality_prior_scale,changepoint_prior_scale,-0.4304232739339092,-1654.0400409175854,2745.983108561486,-3014.518293634057,10222.549327466637,-7003.613596640527,True
recent_weeks,seasonality_prior_scale,-2.1947814912475434,-3357.244326552456,2669.588575396687,-6616.208955895156,2745.983108561486,-3014.518293634057,True
seasonality_corr_threshold,holiday_max_radius,0.14640919916688855,-5550.645416487281,252.52703410759568,1577.120980143547,-39636.66548015177,-10772.007422469556,True
recent_weeks,changepoint_prior_scale,-0.9446850350323153,-6987.500794140704,2669.588575396687,-6616.208955895156,10222.549327466637,-7003.613596640527,True
seasonality_corr_threshold,holiday_effect_floor,-2.192231155649574,-7831.383526031031,252.52703410759568,1577.120980143547,3687.5265362896025,719.4136330373585,True
holiday_min_radius,seasonality_corr_threshold,12.635005324716305,-12390.91068656439,-15581.591107148677,-19926.931981835514,252.52703410759568,1577.120980143547,False
seasonality_prior_scale,holiday_threshold,-1.104188307625326,-13205.067692746468,2745.983108561486,-3014.518293634057,14445.951556589454,-2730.0762676224113,True
n_changepoints,holiday_max_radius,0.8519682723022486,-23094.85195569855,10674.32945324853,9177.408552948385,-39636.66548015177,-10772.007422469556,True
holiday_min_radius,changepoint_range,-0.2235639194441083,-23414.1163245804,-15581.591107148677,-19926.931981835514,35034.83583982289,-89133.04092799872,True
holiday_min_radius,recent_weeks,-3.011835344783099,-23621.95233455758,-15581.591107148677,-19926.931981835514,2669.588575396687,-6616.208955895156,True
changepoint_prior_scale,holiday_threshold,-2.5653545579295796,-26836.438341860026,10222.549327466637,-7003.613596640527,14445.951556589454,-2730.0762676224113,True
holiday_max_radius,n_changepoints,1.1737526296580618,-27107.643214564807,-39636.66548015177,-10772.007422469556,10674.32945324853,9177.408552948385,True
holiday_max_radius,holiday_min_radius,-0.540575309449986,-31213.64204568173,-39636.66548015177,-10772.007422469556,-15581.591107148677,-19926.931981835514,True
recent_weeks,holiday_threshold,-2.4234520604280143,-32339.482489263304,2669.588575396687,-6616.208955895156,14445.951556589454,-2730.0762676224113,True
holiday_min_radius,seasonality_prior_scale,-6.610320469415109,-33733.419458340795,-15581.591107148677,-19926.931981835514,2745.983108561486,-3014.518293634057,False
n_changepoints,holiday_effect_floor,-12.756789879281882,-36366.67174447404,10674.32945324853,9177.408552948385,3687.5265362896025,719.4136330373585,False
holiday_max_radius,seasonality_corr_threshold,6.830171913310737,-37911.86242443841,-39636.66548015177,-10772.007422469556,252.52703410759568,1577.120980143547,False
holiday_max_radius,changepoint_range,-0.12085313493535059,-43870.73522333975,-39636.66548015177,-10772.007422469556,35034.83583982289,-89133.04092799872,True
holiday_max_radius,recent_weeks,-1.6281238235185291,-43983.08623874801,-39636.66548015177,-10772.007422469556,2669.588575396687,-6616.208955895156,True
holiday_min_radius,changepoint_prior_scale,-2.845235778197987,-44667.15419805053,-15581.591107148677,-19926.931981835514,10222.549327466637,-7003.613596640527,True
changepoint_range,seasonality_prior_scale,-29.56792171944235,-46158.17775703409,35034.83583982289,-89133.04092799872,2745.983108561486,-3014.518293634057,False
holiday_max_radius,seasonality_prior_scale,-3.5733760333176496,-49449.09570818048,-39636.66548015177,-10772.007422469556,2745.983108561486,-3014.518293634057,True
holiday_max_radius,changepoint_prior_scale,-1.5380642112575487,-55359.602748543126,-39636.66548015177,-10772.007422469556,10222.549327466637,-7003.613596640527,True
changepoint_range,changepoint_prior_scale,-12.726721669903919,-95064.70420770849,35034.83583982289,-89133.04092799872,10222.549327466637,-7003.613596640527,False
holiday_max_radius,holiday_threshold,-3.9456800347379164,-96635.7681197779,-39636.66548015177,-10772.007422469556,14445.951556589454,-2730.0762676224113,True
holiday_min_radius,holiday_threshold,-7.2990385719845206,-121023.14872771493,-15581.591107148677,-19926.931981835514,14445.951556589454,-2730.0762676224113,False
changepoint_range,holiday_threshold,-32.64855344338917,-436604.58559609886,35034.83583982289,-89133.04092799872,14445.951556589454,-2730.0762676224113,False
