parameter,center,delta,kind,base_label,trough_step,trough_per_unit,trough_per_10pct,trough_curv,dec15_step,dec15_per_unit,dec15_per_10pct,dec15_curv,seam_kink_step,seam_kink_per_unit,seam_kink_per_10pct,seam_kink_curv,aug15_step,aug15_per_unit,aug15_per_10pct,aug15_curv,delta_pct_of_center,gain_per_dec,dec_moves_same_way
changepoint_range,0.734,0.025,float,center_mult,35034.83583982289,1401393.4335929155,102862.27802571999,-85058.81522682309,-89133.04092799872,-3565321.637119949,-261694.60816460423,155482.0946420282,1608.6197345175533,64344.78938070213,4722.907540543536,-1814.1113142952236,29341.263604424894,1173650.5441769958,86145.94994259148,-41702.32072143257,3.4059945504087197,0.3930622749438547,False
holiday_max_radius,5.0,1.0,int,center_mult,-39636.66548015177,-39636.66548015177,-19818.332740075886,16135.720160990953,-10772.007422469556,-10772.007422469556,-5386.003711234778,-60422.5633790195,-395.38432001183537,-395.38432001183537,-197.69216000591769,-593.3858702809812,-22407.644652258605,-22407.644652258605,-11203.822326129302,9515.290859341621,20.0,3.6795987902378178,True
holiday_threshold,-0.032,0.003,float,center_mult,14445.951556589454,4815317.185529818,15409.014993695419,-41793.184226468205,-2730.0762676224113,-910025.4225408038,-2912.0813521305718,-11318.390738353133,877.936113720818,292645.37124027265,936.4651879688724,-1963.5384764038317,13678.133032727987,4559377.677575995,14590.008568243185,-35212.33285847306,9.375,5.291409521379507,False
n_changepoints,35.0,3.0,int,center_mult,10674.32945324853,3558.10981774951,12453.384362123286,6048.868965134025,9177.408552948385,3059.1361843161285,10706.97664510645,58628.1185323745,566.3038407763161,188.76794692543868,660.6878142390354,452.18376327808073,10500.343775957823,3500.114591985941,12250.401071950793,8772.389469504356,8.571428571428571,1.163109323472282,True
changepoint_prior_scale,0.1849,0.0185,float,center_mult,10222.549327466637,552570.2339171155,10217.023625127467,362.36797676980495,-7003.613596640527,-378573.707926515,-6999.827859561264,5897.76131772995,646.2402890989251,34931.90751886082,645.8909700237367,-268.91766786297376,11272.016966041178,609298.2143806042,11265.923983897374,-3843.4237696528435,10.005408328826391,1.4596106975933336,False
holiday_min_radius,3.0,1.0,int,center_mult,-15581.591107148677,-15581.591107148677,-4674.477332144604,9895.765168890357,-19926.931981835514,-19926.931981835514,-5978.079594550655,39105.997001066804,688.8024402839728,688.8024402839728,206.64073208519187,-868.8440091109806,-1120.477675639093,-1120.477675639093,-336.1433026917279,2379.5597539395094,33.33333333333333,0.7819362820805605,True
holiday_effect_floor,-0.6,0.05,float,center_mult,3687.5265362896025,73750.53072579205,4425.031843547523,1057.1895834058523,719.4136330373585,14388.27266074717,863.2963596448302,1438.8272660821676,0.311631526776182,6.23263053552364,0.37395783213141837,0.6232630514568882,2002.4166983813047,40048.333967626095,2402.900038057566,358.44135297834873,8.333333333333334,5.125739028215097,True
seasonality_prior_scale,0.00825,0.000825,float,center_mult,2745.983108561486,3328464.3740139226,2745.9831085614865,30384.407838329673,-3014.518293634057,-3653961.5680412813,-3014.5182936340575,-2649.728481143713,-7.152891102537978,-8670.171033379367,-7.15289110253798,1208.7997012045525,380.5833464637399,461313.1472287756,380.58334646373993,23106.233355164528,10.0,0.9109193712177321,False
recent_weeks,17.0,2.0,int,center_mult,2669.588575396687,1334.7942876983434,2269.150289087184,16073.192376062274,-6616.208955895156,-3308.104477947578,-5623.777612510883,17153.986021474004,113.83239189178857,56.91619594589429,96.7575331080203,690.6474714318756,2230.271817263216,1115.135908631608,1895.7310446737335,12248.259137660265,11.76470588235294,0.4034921800675654,False
seasonality_corr_threshold,-0.35,0.05,float,center_auto_corr,252.52703410759568,5050.540682151914,176.76892387531697,480.20283879339695,1577.120980143547,31542.41960287094,1103.9846861004828,3154.241960287094,14.861655105283717,297.23310210567433,10.403158573698601,26.753853762405924,288.78362165391445,5775.672433078289,202.1485351577401,550.1146422922611,14.285714285714288,0.16011899992897885,True
