label,slug,aug15,aug25,trough_min,trough_min_date,dec15,aug25_ex_cn_ir,seam_slope_before,seam_slope_after_model,seam_kink_model,seam_kink_display,seasonality_corr_threshold,seasonality_regime,prophet_changepoint_range,prophet_changepoint_prior_scale,prophet_n_changepoints,prophet_recent_weeks,prophet_seasonality_prior_scale,holiday_threshold,holiday_max_radius,holiday_min_radius,holiday_effect_floor,dec_drift,trough_gain,in_band,kind
cps0.08983_thresh032_recent8_cpr0.65_ncp25_clip0.6_sps0.00825_corr-0.15,cps0.08983_thresh032_recent8_cpr0.65_ncp25_clip0.6_sps0.00825_corr-0.15,45632235.612128004,45140208.621794656,45140208.621794656,2026-08-25,48935409.65009505,42613340.641316816,-52789.968482737175,-75598.83013499477,-22808.861652257598,-31701.718795114743,-0.15,auto,0.65,0.08983,25,8,0.00825,-0.032,5,3,-0.6,262439.650095053,1306534.621794656,False,probe
cps0.08983_thresh032_recent13_cpr0.65_ncp25_clip0.6_sps0.00825_corr-0.2,cps0.08983_thresh032_recent13_cpr0.65_ncp25_clip0.6_sps0.00825_corr-0.2,45625623.139661595,45136761.918952465,45136761.918952465,2026-08-25,48931635.26383545,42621533.66325365,-52789.968482737175,-75963.31549131357,-23173.34700857639,-32066.204151433536,-0.2,auto,0.65,0.08983,25,13,0.00825,-0.032,5,3,-0.6,258665.2638354525,1303087.918952465,False,probe
cps0.08983_thresh032_recent13_cpr0.65_ncp25_clip0.6_sps0.006_corr-0.15,cps0.08983_thresh032_recent13_cpr0.65_ncp25_clip0.6_sps0.006_corr-0.15,45627339.160253726,45135405.82373393,45135405.82373393,2026-08-25,48941754.803344436,42626010.41240265,-52789.968482737175,-75696.11003553381,-22906.14155279664,-31798.998695653783,-0.15,auto,0.65,0.08983,25,13,0.006,-0.032,5,3,-0.6,268784.803344436,1301731.8237339333,False,probe
cps0.08983_thresh024_recent13_cpr0.65_ncp25_clip0.6_sps0.00825_corr-0.15,cps0.08983_thresh024_recent13_cpr0.65_ncp25_clip0.6_sps0.00825_corr-0.15,45619464.605690554,45133115.2816509,45133115.2816509,2026-08-25,48951666.58074647,42618658.48684646,-52789.968482737175,-76147.86343502393,-23357.894952286755,-32250.7520951439,-0.15,auto,0.65,0.08983,25,13,0.00825,-0.024,5,3,-0.6,278696.5807464719,1299441.2816509008,False,probe
cps0.08983_thresh024_recent13_cpr0.65_ncp25_clip0.6_sps0.00825_corr-0.26,cps0.08983_thresh024_recent13_cpr0.65_ncp25_clip0.6_sps0.00825_corr-0.26,45618192.628770545,45131895.2729191,45131895.2729191,2026-08-25,48947373.49928134,42624004.120221995,-52789.968482737175,-76226.33668062677,-23436.3681978896,-32329.225340746743,-0.26,auto,0.65,0.08983,25,13,0.00825,-0.024,5,3,-0.6,274403.49928133935,1298221.2729191035,False,probe
cps0.08983_thresh032_recent13_cpr0.55_ncp25_clip0.6_sps0.00825_corr-0.13,cps0.08983_thresh032_recent13_cpr0.55_ncp25_clip0.6_sps0.00825_corr-0.13,44651048.88662558,43850548.59829784,43850548.59829784,2026-08-25,48696796.71110886,41437851.05213449,-52789.968482737175,-124401.31070426836,-71611.34222153117,-80504.19936438833,-0.13,auto,0.55,0.08983,25,13,0.00825,-0.032,5,3,-0.6,23826.711108863354,16874.598297841847,True,probe
cps0.08983_thresh032_recent13_cpr0.55_ncp25_clip0.6_sps0.00825,cps0.08983_thresh032_recent13_cpr0.55_ncp25_clip0.6_sps0.00825,44644420.12376578,43846620.713582,43846620.713582,2026-08-25,48696790.487305805,41419977.882250436,-52789.968482737175,-124636.64750805493,-71846.67902531775,-80739.5361681749,0.0,auto,0.55,0.08983,25,13,0.00825,-0.032,5,3,-0.6,23820.487305805087,12946.713582001626,True,probe
cps0.08983_thresh032_recent13_cpr0.65_ncp25_clip0.6_sps0.00825_corr-0.13,cps0.08983_thresh032_recent13_cpr0.65_ncp25_clip0.6_sps0.00825_corr-0.13,44640180.12944115,43837714.80437763,43837714.80437763,2026-08-25,48672961.858521886,41361840.02055435,-52789.968482737175,-125107.13282386452,-72317.16434112735,-81210.02148398448,-0.13,auto,0.65,0.08983,25,13,0.00825,-0.032,5,3,-0.6,-8.14147811383009,4040.804377630353,True,probe
cps0.08983_thresh032_recent13_cpr0.65_ncp25_clip0.6_sps0.00825_corr-0.14,cps0.08983_thresh032_recent13_cpr0.65_ncp25_clip0.6_sps0.00825_corr-0.14,44640180.12944115,43837714.80437763,43837714.80437763,2026-08-25,48672961.858521886,41361840.02055435,-52789.968482737175,-125107.13282386452,-72317.16434112735,-81210.02148398448,-0.14,auto,0.65,0.08983,25,13,0.00825,-0.032,5,3,-0.6,-8.14147811383009,4040.804377630353,True,probe
cps0.08983_thresh032_recent13_cpr0.65_ncp25_clip0.6_sps0.00825_corr-0.105,cps0.08983_thresh032_recent13_cpr0.65_ncp25_clip0.6_sps0.00825_corr-0.105,44637394.28197364,43836152.35015901,43836152.35015901,2026-08-25,48672961.97044941,41362434.49987353,-52789.968482737175,-125210.94144608398,-72420.97296334681,-81313.83010620394,-0.105,auto,0.65,0.08983,25,13,0.00825,-0.032,5,3,-0.6,-8.029550589621067,2478.350159011781,True,probe
canonical (auto),cps0.08983_thresh032_recent13_cpr0.65_ncp25_clip0.6_sps0.00825,44632901.698117904,43833674.32422197,43833674.32422197,2026-08-25,48672970.054164134,41336820.25925994,-52789.968482737175,-125382.97552063849,-72593.00703790132,-81485.86418075845,,auto,0.65,0.08983,25,13,0.00825,-0.032,5,3,-0.6,0.054164133965969086,0.32422196865081787,True,reference
cps0.08983_thresh032_recent13_cpr0.65_ncp25_clip0.6_sps0.00825_regimeadditive,cps0.08983_thresh032_recent13_cpr0.65_ncp25_clip0.6_sps0.00825_regimeadditive,44627183.02222982,43814861.760589786,43814861.760589786,2026-08-25,48667133.263956234,41340466.084287085,-52789.968482737175,-125189.25387114438,-72399.28538840721,-81292.14253126434,0.0,additive,0.65,0.08983,25,13,0.00825,-0.032,5,3,-0.6,-5836.736043766141,-18812.239410214126,True,probe
cps0.08983_thresh024_recent13_cpr0.65_ncp25_clip0.6_sps0.00825_corr-0.13,cps0.08983_thresh024_recent13_cpr0.65_ncp25_clip0.6_sps0.00825_corr-0.13,44614025.75712244,43805987.6598341,43805987.6598341,2026-08-25,48640561.93420464,41334068.69597895,-52789.968482737175,-126131.81271128016,-73341.84422854299,-82234.70137140012,-0.13,auto,0.65,0.08983,25,13,0.00825,-0.024,5,3,-0.6,-32408.065795361996,-27686.340165898204,True,probe
cps0.08983_thresh024_recent13_cpr0.65_ncp25_clip0.6_sps0.00825,cps0.08983_thresh024_recent13_cpr0.65_ncp25_clip0.6_sps0.00825,44606533.13277779,43801814.834109984,43801814.834109984,2026-08-25,48640557.28333472,41309008.307802625,-52789.968482737175,-126424.70583874201,-73634.73735600483,-82527.59449886199,0.0,auto,0.65,0.08983,25,13,0.00825,-0.024,5,3,-0.6,-32412.716665282845,-31859.16589001566,True,probe
cps0.08983_thresh024_recent13_cpr0.55_ncp25_clip0.6_sps0.00825_corr-0.13,cps0.08983_thresh024_recent13_cpr0.55_ncp25_clip0.6_sps0.00825_corr-0.13,44605307.402573526,43792089.102646135,43792089.102646135,2026-08-25,48633907.94133969,41385862.70800598,-52789.968482737175,-126440.42262865553,-73650.45414591837,-82543.3112887755,-0.13,auto,0.55,0.08983,25,13,0.00825,-0.024,5,3,-0.6,-39062.05866031349,-41584.897353865206,True,probe
cps0.08983_thresh024_recent13_cpr0.55_ncp25_clip0.6_sps0.00825,cps0.08983_thresh024_recent13_cpr0.55_ncp25_clip0.6_sps0.00825,44598435.492336474,43787849.973714374,43787849.973714374,2026-08-25,48633928.85070558,41367965.410870545,-52789.968482737175,-126689.78775204945,-73899.81926931228,-82792.67641216941,0.0,auto,0.55,0.08983,25,13,0.00825,-0.024,5,3,-0.6,-39041.14929442108,-45824.026285625994,True,probe
