label,slug,aug15,aug25,trough,trough_date,dec15,seam_kink,prophet_changepoint_prior_scale,prophet_changepoint_range,prophet_recent_weeks,prophet_n_changepoints,prophet_seasonality_prior_scale,seasonality_corr_threshold,seasonality_regime,dec_drift,trough_gain,in_dec_band,in_target_band,holiday_clean,kind
cps0.1849_thresh032_recent17_cpr0.734_ncp60_clip0.6_sps0.00825_regimemultiplicative,cps0.1849_thresh032_recent17_cpr0.734_ncp60_clip0.6_sps0.00825_regimemultiplicative,45702072.47067494,45204118.78136371,45204118.78136371,2026-08-25,48641721.66789668,-18804.78915035862,0.1849,0.734,17,60,0.00825,0.0,multiplicative,-31248.332103319466,1370444.7813637108,True,True,True,probe
cps0.26_thresh032_recent17_cpr0.734_ncp35_clip0.6_sps0.00825_regimemultiplicative,cps0.26_thresh032_recent17_cpr0.734_ncp35_clip0.6_sps0.00825_regimemultiplicative,45681833.06715752,45200860.84224576,45200860.84224576,2026-08-25,48673373.526574954,-20231.61704021325,0.26,0.734,17,35,0.00825,0.0,multiplicative,403.5265749543905,1367186.8422457576,True,True,True,probe
cps0.32_thresh032_recent17_cpr0.734_ncp35_clip0.6_sps0.00825_regimemultiplicative,cps0.32_thresh032_recent17_cpr0.734_ncp35_clip0.6_sps0.00825_regimemultiplicative,45680989.93987891,45200428.84505675,45200428.84505675,2026-08-25,48664457.22689812,-20275.175422343607,0.32,0.734,17,35,0.00825,0.0,multiplicative,-8512.773101881146,1366754.8450567499,True,True,True,probe
cps0.1849_thresh032_recent17_cpr0.734_ncp35_clip0.6_sps0.05_regimemultiplicative,cps0.1849_thresh032_recent17_cpr0.734_ncp35_clip0.6_sps0.05_regimemultiplicative,45686009.34057633,45198305.778363325,45198305.778363325,2026-08-25,48693743.6258903,-19910.30353370215,0.1849,0.734,17,35,0.05,0.0,multiplicative,20773.625890299678,1364631.7783633247,True,True,True,probe
cps0.13_thresh032_recent17_cpr0.734_ncp35_clip0.6_sps0.00825_regimemultiplicative,cps0.13_thresh032_recent17_cpr0.734_ncp35_clip0.6_sps0.00825_regimemultiplicative,45675210.32587164,45196607.60417452,45196607.60417452,2026-08-25,48674037.15904308,-20634.564079251497,0.13,0.734,17,35,0.00825,0.0,multiplicative,1067.1590430811048,1362933.604174517,True,True,True,probe
cps0.1849_thresh032_recent17_cpr0.734_ncp35_clip0.6_sps0.02_regimemultiplicative,cps0.1849_thresh032_recent17_cpr0.734_ncp35_clip0.6_sps0.02_regimemultiplicative,45678158.02468115,45195974.948461466,45195974.948461466,2026-08-25,48678972.08597339,-20429.483951748618,0.1849,0.734,17,35,0.02,0.0,multiplicative,6002.085973389447,1362300.9484614655,True,True,True,probe
s01 center,cps0.1849_thresh032_recent17_cpr0.734_ncp35_clip0.6_sps0.00825_regimemultiplicative,45675070.122195944,45193560.922286086,45193560.922286086,2026-08-25,48678611.928428136,-20603.84431573237,0.1849,0.734,17,35,0.00825,0.0,multiplicative,5641.928428135812,1359886.9222860858,True,True,True,reference
cps0.1849_thresh032_recent24_cpr0.734_ncp35_clip0.6_sps0.00825_regimemultiplicative,cps0.1849_thresh032_recent24_cpr0.734_ncp35_clip0.6_sps0.00825_regimemultiplicative,45655408.152007416,45171851.75046982,45171851.75046982,2026-08-25,48669762.948183216,-21603.34803544153,0.1849,0.734,24,35,0.00825,0.0,multiplicative,-3207.0518167838454,1338177.7504698187,True,True,True,probe
cps0.1849_thresh032_recent17_cpr0.78_ncp42_clip0.6_sps0.00825_regimemultiplicative,cps0.1849_thresh032_recent17_cpr0.78_ncp42_clip0.6_sps0.00825_regimemultiplicative,45661638.41790583,45162097.78495858,45162097.78495858,2026-08-25,48665485.299147286,-21213.986542582476,0.1849,0.78,17,42,0.00825,0.0,multiplicative,-7484.700852714479,1328423.7849585786,True,True,True,probe
cps0.1849_thresh032_recent17_cpr0.78_ncp35_clip0.6_sps0.00825_regimemultiplicative,cps0.1849_thresh032_recent17_cpr0.78_ncp35_clip0.6_sps0.00825_regimemultiplicative,45654480.54566072,45150354.544683516,45150354.544683516,2026-08-25,48689967.595664956,-21563.029080914923,0.1849,0.78,17,35,0.00825,0.0,multiplicative,16997.595664955676,1316680.544683516,True,True,True,probe
cps0.1849_thresh032_recent17_cpr0.82_ncp42_clip0.6_sps0.00825_regimemultiplicative,cps0.1849_thresh032_recent17_cpr0.82_ncp42_clip0.6_sps0.00825_regimemultiplicative,45627239.941752575,45137370.47685351,45137370.47685351,2026-08-25,48689151.346463874,-23293.93457813358,0.1849,0.82,17,42,0.00825,0.0,multiplicative,16181.346463873982,1303696.4768535122,True,True,True,probe
cps0.1849_thresh032_recent17_cpr0.78_ncp50_clip0.6_sps0.00825_regimemultiplicative,cps0.1849_thresh032_recent17_cpr0.78_ncp50_clip0.6_sps0.00825_regimemultiplicative,45631946.02208564,45128267.13836409,45128267.13836409,2026-08-25,48664741.62820269,-22834.252420792116,0.1849,0.78,17,50,0.00825,0.0,multiplicative,-8228.371797308326,1294593.1383640915,True,True,True,probe
canonical (auto),cps0.08983_thresh032_recent13_cpr0.65_ncp25_clip0.6_sps0.00825,44632901.698117904,43833674.32422197,43833674.32422197,2026-08-25,48672970.054164134,-72593.00703790132,0.08983,0.65,13,25,0.00825,,auto,0.054164133965969086,0.32422196865081787,True,False,True,reference
