label,slug,aug15,aug25,trough,trough_date,dec15,seam_kink,prophet_changepoint_prior_scale,prophet_changepoint_range,prophet_recent_weeks,prophet_n_changepoints,prophet_seasonality_prior_scale,seasonality_corr_threshold,seasonality_regime,dec_drift,trough_gain,in_dec_band,in_target_band,holiday_clean,kind
cps0.1849_thresh032_recent17_cpr0.94_ncp35_clip0.6_sps0.00825_regimemultiplicative,cps0.1849_thresh032_recent17_cpr0.94_ncp35_clip0.6_sps0.00825_regimemultiplicative,45913738.60567436,45592968.676623225,45579218.17477025,2026-08-23,51478093.39219154,-9029.746168990256,0.1849,0.94,17,35,0.00825,0.0,multiplicative,2805123.3921915367,1745544.174770251,False,True,True,probe
cps0.1849_thresh032_recent17_cpr0.86_ncp35_clip0.6_sps0.00825_regimemultiplicative,cps0.1849_thresh032_recent17_cpr0.86_ncp35_clip0.6_sps0.00825_regimemultiplicative,45826243.742557846,45443986.98485859,45443986.98485859,2026-08-25,49251871.09385224,-13433.782051553084,0.1849,0.86,17,35,0.00825,0.0,multiplicative,578901.0938522369,1610312.9848585874,False,True,True,probe
cps0.1849_thresh032_recent17_cpr0.86_ncp50_clip0.6_sps0.00825_regimemultiplicative,cps0.1849_thresh032_recent17_cpr0.86_ncp50_clip0.6_sps0.00825_regimemultiplicative,45766980.10189034,45335915.32151162,45335915.32151162,2026-08-25,49074634.56301621,-16036.593884143927,0.1849,0.86,17,50,0.00825,0.0,multiplicative,401664.5630162135,1502241.3215116188,False,True,True,probe
cps0.1849_thresh032_recent17_cpr0.86_ncp42_clip0.6_sps0.00825_regimemultiplicative,cps0.1849_thresh032_recent17_cpr0.86_ncp42_clip0.6_sps0.00825_regimemultiplicative,45757699.95960872,45303779.48737597,45303779.48737597,2026-08-25,49133075.443953,-16349.737035584367,0.1849,0.86,17,42,0.00825,0.0,multiplicative,460105.443953,1470105.4873759672,False,True,True,probe
cps0.1849_thresh032_recent17_cpr0.9_ncp35_clip0.6_sps0.00825_regimemultiplicative,cps0.1849_thresh032_recent17_cpr0.9_ncp35_clip0.6_sps0.00825_regimemultiplicative,45701592.79788417,45280100.17289001,45280100.17289001,2026-08-25,49524482.02206854,-19884.751342537456,0.1849,0.9,17,35,0.00825,0.0,multiplicative,851512.0220685378,1446426.1728900075,False,True,True,probe
cps0.1849_thresh032_recent17_cpr0.734_ncp42_clip0.6_sps0.00825_regimemultiplicative,cps0.1849_thresh032_recent17_cpr0.734_ncp42_clip0.6_sps0.00825_regimemultiplicative,45718328.634866275,45233020.57100435,45233020.57100435,2026-08-25,48709523.18028839,-18142.000287384995,0.1849,0.734,17,42,0.00825,0.0,multiplicative,36553.180288389325,1399346.5710043535,True,True,True,probe
cps0.1849_thresh032_recent17_cpr0.82_ncp50_clip0.6_sps0.00825_regimemultiplicative,cps0.1849_thresh032_recent17_cpr0.82_ncp50_clip0.6_sps0.00825_regimemultiplicative,45696881.94701273,45228389.959980436,45228389.959980436,2026-08-25,48731218.838791296,-19617.632217333892,0.1849,0.82,17,50,0.00825,0.0,multiplicative,58248.838791295886,1394715.9599804357,False,True,True,probe
cps0.1849_thresh032_recent17_cpr0.82_ncp35_clip0.6_sps0.00825_regimemultiplicative,cps0.1849_thresh032_recent17_cpr0.82_ncp35_clip0.6_sps0.00825_regimemultiplicative,45690328.816609316,45223362.245031275,45223362.245031275,2026-08-25,48713201.16145432,-20038.524968777005,0.1849,0.82,17,35,0.00825,0.0,multiplicative,40231.161454319954,1389688.2450312749,True,True,True,probe
cps0.1849_thresh032_recent17_cpr0.734_ncp50_clip0.6_sps0.00825_regimemultiplicative,cps0.1849_thresh032_recent17_cpr0.734_ncp50_clip0.6_sps0.00825_regimemultiplicative,45703817.902751036,45219532.3449341,45219532.3449341,2026-08-25,48677445.14992506,-18924.55735902051,0.1849,0.734,17,50,0.00825,0.0,multiplicative,4475.14992506057,1385858.3449340984,True,True,True,probe
cps0.1849_thresh032_recent20_cpr0.734_ncp35_clip0.6_sps0.00825_regimemultiplicative,cps0.1849_thresh032_recent20_cpr0.734_ncp35_clip0.6_sps0.00825_regimemultiplicative,45689702.70066554,45212833.05630271,45212833.05630271,2026-08-25,48674523.15023399,-19825.072507835685,0.1849,0.734,20,35,0.00825,0.0,multiplicative,1553.150233991444,1379159.0563027114,True,True,True,probe
