label,regime,cps,cpr,recent,ncp,sps,global_trough_post,global_trough_pre,ex_cn_ir_trough_post,dec15_post,gap_to_bullseye,dec15_delta
mult_center,multiplicative,0.08983,0.65,13,25,0.00825,44539723,45285207,42065750,48778383,-520277,192900
mult_cps005,multiplicative,0.05,0.65,13,25,0.00825,44540877,45286362,42069609,48771692,-519123,186209
mult_cps12,multiplicative,0.12,0.65,13,25,0.00825,44538835,45284319,42064868,48779970,-521165,194487
mult_cps15983,multiplicative,0.15983,0.65,13,25,0.00825,44533758,45279242,42060091,48780129,-526242,194646
mult_cps20,multiplicative,0.2,0.65,13,25,0.00825,44538580,45284065,42065916,48780599,-521420,195116
mult_cps30,multiplicative,0.3,0.65,13,25,0.00825,44537529,45283013,42064146,48777740,-522471,192257
mult_cpr055,multiplicative,0.08983,0.55,13,25,0.00825,44640182,45385666,42222990,48826483,-419818,241000
mult_cpr060,multiplicative,0.08983,0.6,13,25,0.00825,44613462,45358946,42186150,48806713,-446538,221230
mult_cpr070,multiplicative,0.08983,0.7,13,25,0.00825,44538192,45283676,41999947,48790028,-521808,204545
mult_cpr080,multiplicative,0.08983,0.8,13,25,0.00825,44468997,45214481,41960253,48473473,-591003,-112010
mult_cpr090,multiplicative,0.08983,0.9,13,25,0.00825,44425756,45171241,41938034,48771931,-634244,186448
mult_ncp20,multiplicative,0.08983,0.65,13,20,0.00825,44548114,45293598,42077087,48747128,-511886,161645
mult_ncp35,multiplicative,0.08983,0.65,13,35,0.00825,44576778,45322263,42116262,48746799,-483222,161316
mult_recent8,multiplicative,0.08983,0.65,8,25,0.00825,44544327,45289811,42068387,48787877,-515673,202394
mult_recent20,multiplicative,0.08983,0.65,20,25,0.00825,44515857,45261341,42042402,48760213,-544143,174730
