Full factorial 3 x 3 x 3 x 3 x 3 = 243 cells
  cps     (0.1649, 0.1849, 0.2049)
  cpr     (0.754, 0.784, 0.814)
  ncp     (30, 35, 40)
  recent  (14, 17, 20)
  sps     (0.0065, 0.00825, 0.01)
Already on disk: 1.  To run: 242.  Concurrency: 4.
Pickles deleted per cell; ~1.5MB retained each.

[1/243] cps0.1649_thresh032_recent14_cpr0.754_ncp30_clip0.6_ took 105.8s | median 105.8s | elapsed   1.8m | ETA 426.9m
[2/243] cps0.1649_thresh032_recent14_cpr0.754_ncp30_clip0.6_ took 105.9s | median 105.9s | elapsed   1.8m | ETA 212.6m
[3/243] cps0.1649_thresh032_recent17_cpr0.754_ncp30_clip0.6_ took 106.0s | median 105.9s | elapsed   1.8m | ETA 141.4m
[4/243] cps0.1649_thresh032_recent14_cpr0.754_ncp30_clip0.6_ took 106.6s | median 105.9s | elapsed   1.8m | ETA 106.2m
[5/243] cps0.1649_thresh032_recent20_cpr0.754_ncp30_clip0.6_ took 103.4s | median 105.9s | elapsed   3.5m | ETA 166.6m
[6/243] cps0.1649_thresh032_recent17_cpr0.754_ncp30_clip0.6_ took 105.3s | median 105.9s | elapsed   3.5m | ETA 139.0m
[7/243] cps0.1649_thresh032_recent17_cpr0.754_ncp30_clip0.6_ took 105.6s | median 105.8s | elapsed   3.5m | ETA 118.8m
[8/243] cps0.1649_thresh032_recent20_cpr0.754_ncp30_clip0.6_ took 107.7s | median 105.9s | elapsed   3.6m | ETA 104.6m
[9/243] cps0.1649_thresh032_recent20_cpr0.754_ncp30_clip0.6_ took 104.4s | median 105.8s | elapsed   5.2m | ETA 136.2m
[10/243] cps0.1649_thresh032_recent14_cpr0.754_ncp35_clip0.6_ took 112.2s | median 105.9s | elapsed   5.4m | ETA 125.6m
[11/243] cps0.1649_thresh032_recent14_cpr0.754_ncp35_clip0.6_ took 112.5s | median 105.9s | elapsed   5.4m | ETA 113.9m
[12/243] cps0.1649_thresh032_recent14_cpr0.754_ncp35_clip0.6_ took 112.0s | median 105.9s | elapsed   5.4m | ETA 104.5m
[13/243] cps0.1649_thresh032_recent17_cpr0.754_ncp35_clip0.6_ took 112.9s | median 106.0s | elapsed   7.1m | ETA 126.0m
[14/243] cps0.1649_thresh032_recent17_cpr0.754_ncp35_clip0.6_ took 112.2s | median 106.3s | elapsed   7.3m | ETA 118.8m
[15/243] cps0.1649_thresh032_recent20_cpr0.754_ncp35_clip0.6_ took 112.9s | median 106.6s | elapsed   7.3m | ETA 111.1m
[16/243] cps0.1649_thresh032_recent17_cpr0.754_ncp35_clip0.6_ took 115.0s | median 107.2s | elapsed   7.3m | ETA 103.8m
[17/243] cps0.1649_thresh032_recent20_cpr0.754_ncp35_clip0.6_ took 113.4s | median 107.7s | elapsed   9.0m | ETA 119.8m
