Full factorial 3 x 3 x 3 x 3 x 3 = 243 cells
  cps     (0.1649, 0.1849, 0.2049)
  cpr     (0.754, 0.784, 0.814)
  ncp     (30, 35, 40)
  recent  (14, 17, 20)
  sps     (0.0065, 0.00825, 0.01)
Already on disk: 185.  To run: 58.  Concurrency: 4.
Pickles deleted per cell; ~1.5MB retained each.

ADC check passed.

[1/243] cps0.2049_thresh032_recent17_cpr0.754_ncp40_clip0.6_ took 117.4s | median 117.4s | elapsed   2.0m | ETA 473.6m
[2/243] cps0.2049_thresh032_recent20_cpr0.754_ncp40_clip0.6_ took 118.3s | median 117.9s | elapsed   2.0m | ETA 237.6m
[3/243] cps0.2049_thresh032_recent20_cpr0.754_ncp40_clip0.6_ took 118.6s | median 118.3s | elapsed   2.0m | ETA 158.2m
[4/243] cps0.2049_thresh032_recent20_cpr0.754_ncp40_clip0.6_ took 121.7s | median 118.5s | elapsed   2.0m | ETA 121.2m
[5/243] cps0.2049_thresh032_recent14_cpr0.784_ncp30_clip0.6_ took 102.7s | median 118.3s | elapsed   3.7m | ETA 175.6m
[6/243] cps0.2049_thresh032_recent14_cpr0.784_ncp30_clip0.6_ took 104.8s | median 117.9s | elapsed   3.7m | ETA 146.3m
[7/243] cps0.2049_thresh032_recent14_cpr0.784_ncp30_clip0.6_ took 104.2s | median 117.4s | elapsed   3.7m | ETA 125.1m
[8/243] cps0.2049_thresh032_recent17_cpr0.784_ncp30_clip0.6_ took 102.2s | median 111.1s | elapsed   3.7m | ETA 109.6m
[9/243] cps0.2049_thresh032_recent17_cpr0.784_ncp30_clip0.6_ took 103.8s | median 104.8s | elapsed   5.4m | ETA 140.9m
[10/243] cps0.2049_thresh032_recent17_cpr0.784_ncp30_clip0.6_ took 103.3s | median 104.5s | elapsed   5.4m | ETA 126.4m
[11/243] cps0.2049_thresh032_recent20_cpr0.784_ncp30_clip0.6_ took 103.5s | median 104.2s | elapsed   5.4m | ETA 114.6m
[12/243] cps0.2049_thresh032_recent20_cpr0.784_ncp30_clip0.6_ took 104.7s | median 104.5s | elapsed   5.5m | ETA 105.4m
