corr_threshold,aug25,dec15,kink,trough_date,aug25_vs_target,dec15_vs_base,hits
-1.0,45223249.05244651,48703959.74711069,-9553.776629009852,2026-08-25,196183.05244650692,-0.25288931280374527,False
-0.8,45223249.05244651,48703959.74711069,-9553.776629009852,2026-08-25,196183.05244650692,-0.25288931280374527,False
-0.6,45223249.05244651,48703959.74711069,-9553.776629009852,2026-08-25,196183.05244650692,-0.25288931280374527,False
-0.4,45223257.9712648,48703786.797457576,-9553.348181455796,2026-08-25,196191.97126480192,-173.20254242420197,False
-0.2,45222104.872291505,48708526.71449067,-9416.62695223662,2026-08-25,195038.87229150534,4566.7144906669855,False
-0.18,45222104.872291505,48708526.71449067,-9416.62695223662,2026-08-25,195038.87229150534,4566.7144906669855,False
-0.16,45228934.58006363,48710162.27477884,-9259.105119853448,2026-08-25,201868.58006363362,6202.274778842926,False
-0.15,45228934.58006363,48710162.27477884,-9259.105119853448,2026-08-25,201868.58006363362,6202.274778842926,False
-0.145,45227523.53984461,48710162.27477884,-9232.8792479076,2026-08-25,200457.5398446098,6202.274778842926,False
-0.1425,43869632.46919601,48685661.24948324,-64301.22008970371,2026-08-25,-1157433.5308039933,-18298.75051675737,False
-0.14,43869632.46919601,48685661.24948324,-64301.22008970371,2026-08-25,-1157433.5308039933,-18298.75051675737,False
-0.12,43868209.07939641,48685662.23951716,-64332.848115601606,2026-08-25,-1158856.9206035882,-18297.76048284024,False
-0.1,43868209.07939641,48685662.23951716,-64332.848115601606,2026-08-25,-1158856.9206035882,-18297.76048284024,False
-0.08,43870073.81395867,48685662.23951716,-64424.981475168126,2026-08-25,-1156992.1860413328,-18297.76048284024,False
-0.05,43870073.81395867,48685662.23951716,-64423.7848515448,2026-08-25,-1156992.1860413328,-18297.76048284024,False
-0.02,43866227.66671502,48685691.92670019,-64436.86993124157,2026-08-25,-1160838.3332849815,-18268.07329981029,False
0.0,43866227.66671502,48685691.92670019,-64436.86993124157,2026-08-25,-1160838.3332849815,-18268.07329981029,False
