f,regime,aug25,dec15,kink,trough_date,aug25_vs_s01,aug25_vs_target,dec15_vs_base,hits
0.1,auto,43869912.316081956,48696827.36378724,-64287.24045197852,2026-08-25,-1353336.736364551,-1157153.683918044,-7132.63621275872,False
0.15,auto,43867133.04660703,48696629.343841076,-64310.02689955139,2026-08-25,-1356116.0058394745,-1159932.9533929676,-7330.656158924103,False
0.2,auto,43878302.417155884,48707454.73122163,-63805.22325903307,2026-08-25,-1344946.6352906227,-1148763.5828441158,3494.7312216311693,False
0.3,auto,43860284.926730014,48691752.71708204,-64504.205096287,2026-08-25,-1362964.1257164925,-1166781.0732699856,-12207.282917961478,False
1.0,auto,43833674.32422197,48672970.054164134,-65344.45262724862,2026-08-25,-1389574.7282245383,-1193391.6757780313,-30989.945835866034,False
0.0,multiplicative,45223249.05244651,48703959.74711069,-9553.776629009852,2026-08-25,0.0,196183.05244650692,-0.25288931280374527,False
0.1,multiplicative,45247957.07421237,48694719.381270394,-7477.392906196859,2026-08-25,24708.021765865386,220891.0742123723,-9240.61872960627,False
0.15,multiplicative,45202917.983284555,48724851.13684512,-9424.06160330787,2026-08-25,-20331.069161951542,175851.98328455538,20891.136845119298,False
0.2,multiplicative,45218046.46197445,48757376.78631075,-8240.121962407728,2026-08-25,-5202.590472057462,190980.46197444946,53416.786310747266,False
0.3,multiplicative,45195891.58611221,48842780.57385682,-9458.256029203178,2026-08-25,-27357.466334298253,168825.58611220866,138820.57385682315,False
