cps,cpr,ncp,recent,sps,aug25,dec15,kink,trough_date
0.1649,0.784,35,17,0.0065,45175715.53189474,48672647.03383086,-11320.017349792513,2026-08-25
0.1649,0.784,35,17,0.00825,45163470.13664384,48679458.07707642,-12074.322562106448,2026-08-25
0.1649,0.784,35,17,0.01,45188015.205446795,48678505.8906809,-10548.236980664478,2026-08-25
0.1649,0.784,35,20,0.0065,45160818.05166899,48680476.317657754,-11530.11852239495,2026-08-25
0.1649,0.784,35,20,0.00825,45161931.67197769,48688692.02065341,-11547.01224208151,2026-08-25
0.1649,0.784,35,20,0.01,45185716.31467736,48678850.94121374,-10786.008439921512,2026-08-25
0.1649,0.784,40,14,0.0065,45128172.81866286,48689657.66713639,-13179.49014812884,2026-08-25
0.1649,0.784,40,14,0.00825,45137139.84385383,48690866.89182447,-12704.260178375953,2026-08-25
0.1649,0.784,40,14,0.01,45112954.47683702,48693051.06065122,-13502.731366707172,2026-08-25
0.1649,0.784,40,17,0.0065,45118171.74546571,48673913.20425191,-13580.531610785489,2026-08-25
0.1649,0.784,40,17,0.00825,45123319.63513164,48664256.30813161,-13530.335618283352,2026-08-25
0.1649,0.784,40,17,0.01,45105357.643554725,48689374.24058695,-13780.97132761107,2026-08-25
0.1649,0.784,40,20,0.0065,45138389.144715086,48699849.27943629,-13107.396027439012,2026-08-25
0.1649,0.784,40,20,0.00825,45122977.01672655,48678065.26447683,-13258.40804803741,2026-08-25
0.1649,0.784,40,20,0.01,45146438.20058555,48673883.89863883,-12978.538482449672,2026-08-25
0.1649,0.814,30,14,0.0065,45119096.66428148,48660668.134665035,-14551.627001868663,2026-08-25
0.1649,0.814,30,14,0.00825,45120952.25792692,48668706.91924933,-14437.244022982457,2026-08-25
0.1649,0.814,30,14,0.01,45129297.87766714,48663905.22291279,-14127.960912291048,2026-08-25
0.1649,0.814,30,17,0.0065,45112166.955849774,48657849.98435878,-14819.55762646618,2026-08-25
0.1649,0.814,30,17,0.00825,45103371.314745426,48647430.59021167,-15197.262871713741,2026-08-25
0.1649,0.814,30,17,0.01,45111984.38646943,48658497.115313366,-14839.440085640323,2026-08-25
0.1649,0.814,30,20,0.0065,45125322.29894484,48664990.823796794,-14326.574012907324,2026-08-25
0.1649,0.814,30,20,0.00825,45123362.99747165,48666720.85311316,-14406.41634583917,2026-08-25
0.1649,0.814,30,20,0.01,45109329.63378302,48648914.458515696,-14930.94963850586,2026-08-25
0.1649,0.814,35,14,0.0065,45196150.578989185,48717707.76249029,-10537.063032158003,2026-08-25
0.1649,0.814,35,14,0.00825,45180425.02719164,48697799.0764436,-11357.091545250361,2026-08-25
0.1649,0.814,35,14,0.01,45192157.72625599,48709151.469630204,-10871.114164191793,2026-08-25
0.1649,0.814,35,17,0.0065,45176991.73266884,48694640.0359954,-11389.837330983457,2026-08-25
0.1649,0.814,35,17,0.00825,45175229.53807213,48693342.659282506,-11588.244904839907,2026-08-25
0.1649,0.814,35,17,0.01,45222482.94201038,48716911.311306395,-9698.237646249945,2026-08-25
0.1649,0.814,35,20,0.0065,45188373.6411724,48710998.925365284,-10729.559235861278,2026-08-25
0.1649,0.814,35,20,0.00825,45186553.449023016,48700991.4774025,-11002.030186275486,2026-08-25
0.1649,0.814,35,20,0.01,45215249.11759108,48722471.27098481,-10004.059409802772,2026-08-25
0.1649,0.814,40,14,0.0065,45102912.71270203,48747625.048929475,-13523.724645245806,2026-08-25
0.1649,0.814,40,14,0.00825,45103369.9406899,48776941.20882531,-13304.790448430445,2026-08-25
0.1649,0.814,40,14,0.01,45108225.57721124,48682924.36218128,-14284.706818386228,2026-08-25
0.1649,0.814,40,17,0.0065,45094212.84345346,48693290.96617557,-14527.602365765124,2026-08-25
0.1649,0.814,40,17,0.00825,45036388.96727141,48672602.9676008,-16549.286235440377,2026-08-25
0.1649,0.814,40,17,0.01,45095890.00478248,48736353.7417718,-13986.449079765589,2026-08-25
0.1649,0.814,40,20,0.0065,45083983.80535314,48746494.170414686,-14105.422047756176,2026-08-25
0.1649,0.814,40,20,0.00825,45091535.45883338,48707662.38817109,-14447.358807947763,2026-08-25
0.1649,0.814,40,20,0.01,45086720.78592674,48676941.27065437,-14912.738142278205,2026-08-25
0.1849,0.754,30,14,0.0065,45177050.072459854,48670987.6654982,-12584.590505967288,2026-08-25
0.1849,0.754,30,14,0.00825,45180037.34691756,48668606.69730283,-12383.427169669652,2026-08-25
0.1849,0.754,30,14,0.01,45167770.54482497,48680230.943427466,-12848.530327804969,2026-08-25
0.1849,0.754,30,17,0.0065,45154954.92412914,48659263.268316075,-13345.03103163006,2026-08-25
0.1849,0.754,30,17,0.00825,45172215.07830564,48676306.30934911,-12822.27185941649,2026-08-25
0.1849,0.754,30,17,0.01,45153887.33538018,48662547.72302754,-13460.945121391327,2026-08-25
0.1849,0.754,30,20,0.0065,45131862.060265526,48658548.260798134,-14329.375622255073,2026-08-25
0.1849,0.754,30,20,0.00825,45154919.28507922,48663902.87040848,-13418.424291536503,2026-08-25
0.1849,0.754,30,20,0.01,45156116.501597054,48663466.87885002,-13309.208267374197,2026-08-25
0.1849,0.754,35,14,0.0065,45192048.15084793,48662988.67399029,-9749.35300507483,2026-08-25
0.1849,0.754,35,14,0.00825,45205916.31805239,48666569.734741166,-8644.417804105964,2026-08-25
0.1849,0.754,35,14,0.01,45187665.2585241,48674833.6957841,-10535.99733198082,2026-08-25
0.1849,0.754,35,17,0.0065,45201349.76968564,48656269.890773274,-9203.420497576437,2026-08-25
0.1849,0.754,35,17,0.00825,45197824.93048274,48662588.5554791,-9356.515377694326,2026-08-25
0.1849,0.754,35,17,0.01,45175931.02176024,48672960.40963907,-11209.271124726365,2026-08-25
0.1849,0.754,35,20,0.0065,45190945.93493627,48686431.37606694,-10334.369989788865,2026-08-25
0.1849,0.754,35,20,0.00825,45175061.556922786,48669173.978261285,-10994.29786517124,2026-08-25
0.1849,0.754,35,20,0.01,45187163.697483726,48655869.42229528,-9870.054898265895,2026-08-25
0.1849,0.754,40,14,0.0065,45208897.322717145,48685218.242063835,-10243.891086691037,2026-08-25
0.1849,0.754,40,14,0.00825,45199825.45406205,48686055.225209035,-10507.305790077291,2026-08-25
0.1849,0.754,40,14,0.01,45204068.857449695,48698867.326373585,-10325.978252310757,2026-08-25
0.1849,0.754,40,17,0.0065,45191411.51610196,48685096.36056441,-10661.226322326926,2026-08-25
0.1849,0.754,40,17,0.00825,45181402.78192572,48690555.60498829,-11037.976250383515,2026-08-25
0.1849,0.754,40,17,0.01,45199071.63328361,48663324.22068791,-10677.781016103108,2026-08-25
0.1849,0.754,40,20,0.0065,45181688.074302256,48664077.70374803,-11484.016673611986,2026-08-25
0.1849,0.754,40,20,0.00825,45191231.24556015,48678807.4768523,-11093.075295830698,2026-08-25
0.1849,0.754,40,20,0.01,45190211.84511863,48685921.573918745,-10719.514014768218,2026-08-25
0.1849,0.784,30,14,0.0065,45114732.03771056,48685462.504713245,-14122.54642300267,2026-08-25
0.1849,0.784,30,14,0.00825,45110020.3834721,48669701.84437268,-14102.476194048126,2026-08-25
0.1849,0.784,30,14,0.01,45104090.29108095,48682231.3674463,-14375.43096608977,2026-08-25
0.1849,0.784,30,17,0.0065,45094708.06771864,48668439.57153039,-14680.660145908434,2026-08-25
0.1849,0.784,30,17,0.00825,45094596.21571059,48669481.699720986,-14628.576538491077,2026-08-25
0.1849,0.784,30,17,0.01,45098345.4127305,48674766.91903217,-14507.881933190889,2026-08-25
0.1849,0.784,30,20,0.0065,45079601.01963179,48653699.13649956,-14903.443658047167,2026-08-25
0.1849,0.784,30,20,0.00825,45091292.715858705,48674914.28780248,-14704.478204446103,2026-08-25
0.1849,0.784,30,20,0.01,45097023.77609896,48662954.10628516,-14434.461323933909,2026-08-25
0.1849,0.784,35,14,0.0065,45178375.592114545,48700002.863396965,-10818.997300932657,2026-08-25
0.1849,0.784,35,14,0.00825,45180095.42455184,48694844.05662935,-11109.23660345663,2026-08-25
0.1849,0.784,35,14,0.01,45172518.38897715,48697848.38688361,-11009.954337540694,2026-08-25
0.1849,0.784,35,17,0.0065,45167629.34661213,48679967.00118349,-11355.319537803567,2026-08-25
0.1849,0.784,35,17,0.00825,45195813.51355233,48694694.052852504,-10539.470794445493,2026-08-25
0.1849,0.784,35,17,0.01,45178131.401092604,48696312.17372368,-10661.624466931025,2026-08-25
0.1849,0.784,35,20,0.0065,45144897.87773379,48686076.64761458,-12122.94687390916,2026-08-25
0.1849,0.784,35,20,0.00825,45169142.16545314,48676034.13673041,-11335.814011493356,2026-08-25
0.1849,0.784,35,20,0.01,45201152.14261953,48672136.49899309,-10077.94715491336,2026-08-25
0.1849,0.784,40,14,0.0065,45140064.82830231,48672342.80456824,-13332.205466168802,2026-08-25
0.1849,0.784,40,14,0.00825,45133400.37544656,48705818.248996,-12712.440471838796,2026-08-25
0.1849,0.784,40,14,0.01,45112995.66550999,48687782.464378774,-13380.708292074894,2026-08-25
0.1849,0.784,40,17,0.0065,45125458.260121636,48675809.477816425,-13457.347579205161,2026-08-25
0.1849,0.784,40,17,0.00825,45132297.052848935,48682568.530588254,-13021.066129395942,2026-08-25
0.1849,0.784,40,17,0.01,45140827.20023267,48671132.615284204,-12963.635403711087,2026-08-25
0.1849,0.784,40,20,0.0065,45126424.93194199,48682358.97446204,-13442.931687772216,2026-08-25
0.1849,0.784,40,20,0.00825,45134066.17963525,48673863.29116499,-13243.445611651681,2026-08-25
0.1849,0.784,40,20,0.01,45123542.36523358,48674869.14919668,-13296.757003494698,2026-08-25
0.1849,0.814,30,14,0.0065,45120329.91724149,48676974.00399824,-14322.018914573942,2026-08-25
0.1849,0.814,30,14,0.00825,45115528.14988428,48659751.98116797,-14643.21772598091,2026-08-25
0.1849,0.814,30,14,0.01,45118364.86688172,48671891.76825961,-14436.290024607995,2026-08-25
0.1849,0.814,30,17,0.0065,45116299.50356023,48664914.95433009,-14661.466187751197,2026-08-25
0.1849,0.814,30,17,0.00825,45146451.72483788,48668773.21226627,-13589.329754670878,2026-08-25
0.1849,0.814,30,17,0.01,45100228.70706827,48651778.03457467,-15298.47978576363,2026-08-25
0.1849,0.814,30,20,0.0065,45110323.553142294,48651819.28609806,-14902.327323676975,2026-08-25
0.1849,0.814,30,20,0.00825,45119827.57444368,48653817.93483805,-14502.057326500959,2026-08-25
0.1849,0.814,30,20,0.01,45085515.50920872,48628308.18168912,-15851.707477257514,2026-08-25
0.1849,0.814,35,14,0.0065,45190106.60539002,48705350.95266109,-10882.582202065903,2026-08-25
0.1849,0.814,35,14,0.00825,45212925.11942701,48738789.58449294,-9881.579846977176,2026-08-25
0.1849,0.814,35,14,0.01,45183749.39579455,48701316.141532265,-11188.931863499733,2026-08-25
0.1849,0.814,35,17,0.0065,45186754.11019181,48708003.912323855,-10975.53585592108,2026-08-25
0.1849,0.814,35,17,0.00825,45193339.44801506,48714675.82041836,-10708.35095608655,2026-08-25
0.1849,0.814,35,17,0.01,45176206.76839425,48689147.23633561,-11767.379554807427,2026-08-25
0.1849,0.814,35,20,0.0065,45168986.267191514,48695019.68954375,-11789.372851847715,2026-08-25
0.1849,0.814,35,20,0.00825,45196352.39623207,48718950.52131997,-10595.273886194962,2026-08-25
0.1849,0.814,35,20,0.01,45170397.743673585,48687451.70193728,-11878.38613718588,2026-08-25
0.1849,0.814,40,14,0.0065,45092132.907245584,48686190.89466615,-14551.257920896256,2026-08-25
0.1849,0.814,40,14,0.00825,45078128.259500735,48691154.379561864,-14924.146621251188,2026-08-25
0.1849,0.814,40,14,0.01,45131309.89731426,48737863.940186635,-12769.307443042519,2026-08-25
0.1849,0.814,40,17,0.0065,45087679.49643268,48758695.597507074,-14103.782209198165,2026-08-25
0.1849,0.814,40,17,0.00825,45088480.67597784,48723856.52367006,-14317.871576492122,2026-08-25
0.1849,0.814,40,17,0.01,45079186.98062492,48744598.219398245,-14273.026421480696,2026-08-25
0.1849,0.814,40,20,0.0065,45098240.80987746,48752233.13318734,-13729.42771238841,2026-08-25
0.1849,0.814,40,20,0.00825,45090302.32653772,48739196.61839442,-13953.05902208868,2026-08-25
0.1849,0.814,40,20,0.01,45073773.87514556,48700851.54108144,-14999.786355709788,2026-08-25
0.2049,0.754,30,14,0.0065,45163236.03600622,48669172.20818241,-13070.773560945323,2026-08-25
0.2049,0.754,30,14,0.00825,45176335.705826744,48673564.37565674,-12636.593733385882,2026-08-25
0.2049,0.754,30,14,0.01,45172679.679392986,48671149.33892337,-12689.886965364502,2026-08-25
0.2049,0.754,30,17,0.0065,45152565.81810689,48659381.004991405,-13436.847705689957,2026-08-25
0.2049,0.754,30,17,0.00825,45157617.20890788,48671594.44778891,-13181.36858571913,2026-08-25
0.2049,0.754,30,17,0.01,45155778.855722554,48667626.54560139,-13490.45555820188,2026-08-25
0.2049,0.754,30,20,0.0065,45158350.74297961,48661804.4156361,-13157.816390984648,2026-08-25
0.2049,0.754,30,20,0.00825,45162336.418521546,48680794.77512568,-13100.921366982555,2026-08-25
0.2049,0.754,30,20,0.01,45148132.35853461,48665251.90372898,-13596.913971711328,2026-08-25
0.2049,0.754,35,14,0.0065,45195934.00991702,48662952.62523078,-9569.265074351759,2026-08-25
0.2049,0.754,35,14,0.00825,45192959.293645695,48671107.74788435,-10002.844695899876,2026-08-25
0.2049,0.754,35,14,0.01,45196859.68077745,48679404.697290055,-9388.0530731822,2026-08-25
0.2049,0.754,35,17,0.0065,45194607.39371498,48668743.91067772,-9824.694953108294,2026-08-25
0.2049,0.754,35,17,0.00825,45197901.461210355,48659559.25924772,-9456.02848687693,2026-08-25
0.2049,0.754,35,17,0.01,45187007.01587982,48666249.45964895,-10290.370436932091,2026-08-25
0.2049,0.754,35,20,0.0065,45192469.26076365,48660228.22150361,-9724.625473051557,2026-08-25
0.2049,0.754,35,20,0.00825,45198234.05048585,48667599.26010526,-9122.017767332029,2026-08-25
0.2049,0.754,35,20,0.01,45181902.900816835,48665480.04377269,-10147.911217628076,2026-08-25
0.2049,0.754,40,14,0.0065,45190430.29081654,48692852.045993425,-10743.32190178104,2026-08-25
0.2049,0.754,40,14,0.00825,45197587.755274996,48672945.40778176,-10684.205701416307,2026-08-25
0.2049,0.754,40,14,0.01,45193544.416175626,48677225.367197216,-10648.387914934632,2026-08-25
0.2049,0.754,40,17,0.0065,45186718.44675819,48664570.13392945,-11059.905587498703,2026-08-25
0.2049,0.754,40,17,0.00825,45182055.40915134,48686651.915170684,-11104.285408505006,2026-08-25
0.2049,0.754,40,17,0.01,45188358.49304847,48664368.20845101,-11098.937271343435,2026-08-25
0.2049,0.754,40,20,0.0065,45208532.75570484,48676237.403832905,-10161.551400809862,2026-08-25
0.2049,0.754,40,20,0.00825,45174184.50821148,48663628.95203144,-11743.43239879769,2026-08-25
0.2049,0.754,40,20,0.01,45185086.793568335,48666726.21048319,-11401.45629013783,2026-08-25
0.2049,0.784,30,14,0.0065,45110344.501624085,48691464.23649921,-14334.737448309315,2026-08-25
0.2049,0.784,30,14,0.00825,45111039.56727209,48691211.88970844,-14444.058395892978,2026-08-25
0.2049,0.784,30,14,0.01,45103207.79471073,48684312.710417576,-14262.428001219014,2026-08-25
0.2049,0.784,30,17,0.0065,45097370.138866626,48682319.186756074,-14551.311935417049,2026-08-25
0.2049,0.784,30,17,0.00825,45106020.02887297,48675516.938688934,-14537.179119724853,2026-08-25
0.2049,0.784,30,17,0.01,45100942.67549252,48686456.54533239,-14483.77329733147,2026-08-25
0.2049,0.784,30,20,0.0065,45098105.48148637,48676182.367170915,-14507.39148490975,2026-08-25
0.2049,0.784,30,20,0.00825,45094905.631868206,48663904.43268348,-14738.949791253137,2026-08-25
0.2049,0.784,30,20,0.01,45096645.37285662,48674108.44970939,-14724.22874857398,2026-08-25
0.2049,0.784,35,14,0.0065,45184488.14861389,48703563.80161729,-10750.74611799122,2026-08-25
0.2049,0.784,35,14,0.00825,45173601.54814909,48690639.27796919,-10626.07316561119,2026-08-25
0.2049,0.784,35,14,0.01,45180344.910639726,48697101.0883983,-10972.67694779548,2026-08-25
0.2049,0.784,35,17,0.0065,45184206.3926543,48697204.50608172,-11134.736432329111,2026-08-25
0.2049,0.784,35,17,0.00825,45177918.61594677,48689678.401889615,-11655.053186433506,2026-08-25
0.2049,0.784,35,17,0.01,45165319.607188605,48706119.055865474,-11255.376234593663,2026-08-25
0.2049,0.784,35,20,0.0065,45158348.175168134,48671948.39763977,-12151.378861666897,2026-08-25
0.2049,0.784,35,20,0.00825,45169577.79085736,48692908.966487035,-10992.537399075583,2026-08-25
0.2049,0.784,35,20,0.01,45188235.489635095,48683997.3188685,-10790.651604367791,2026-08-25
0.2049,0.784,40,14,0.0065,45128150.523803,48693686.216699354,-13099.803274758931,2026-08-25
0.2049,0.784,40,14,0.00825,45148879.11429798,48700623.90896667,-12585.02172045855,2026-08-25
0.2049,0.784,40,14,0.01,45129032.0691893,48691979.26465444,-13060.954141246926,2026-08-25
0.2049,0.784,40,17,0.0065,45124576.20973997,48691936.13564598,-13579.060480505912,2026-08-25
0.2049,0.784,40,17,0.00825,45123706.4532671,48683538.18282696,-13312.596015382689,2026-08-25
0.2049,0.784,40,17,0.01,45119789.875863336,48694602.37582476,-13381.46527783043,2026-08-25
0.2049,0.784,40,20,0.0065,45104168.36514275,48684107.00627669,-13772.754058759878,2026-08-25
0.2049,0.784,40,20,0.00825,45122062.43804859,48687273.46783375,-13061.30376110648,2026-08-25
0.2049,0.784,40,20,0.01,45114326.84262314,48674704.93460858,-13609.294586431482,2026-08-25
0.2049,0.814,30,14,0.0065,45117614.078520305,48663897.603561305,-14583.95202893138,2026-08-25
0.2049,0.814,30,14,0.00825,45126338.726888314,48672791.34204709,-14218.934013657621,2026-08-25
0.2049,0.814,30,14,0.01,45152894.88446403,48687434.61583451,-13222.426085423183,2026-08-25
0.2049,0.814,30,17,0.0065,45143565.55728227,48669317.297403984,-13607.586315670764,2026-08-25
0.2049,0.814,30,17,0.00825,45123702.25366716,48672371.9018366,-14340.480965486073,2026-08-25
0.2049,0.814,30,17,0.01,45106514.03021749,48649404.08421055,-14991.789951170882,2026-08-25
0.2049,0.814,30,20,0.0065,45138612.82104777,48658109.67605475,-13838.16092444965,2026-08-25
0.2049,0.814,30,20,0.00825,45096487.938889675,48633132.66188844,-15459.83340353913,2026-08-25
0.2049,0.814,30,20,0.01,45102934.89278535,48645985.830730684,-15180.64180598552,2026-08-25
0.2049,0.814,35,14,0.0065,45206120.64979846,48724214.387281165,-10086.343623361812,2026-08-25
0.2049,0.814,35,14,0.00825,45165134.78876859,48681914.46087383,-12166.85787779549,2026-08-25
0.2049,0.814,35,14,0.01,45200896.650704645,48717527.407243304,-10391.297571355324,2026-08-25
0.2049,0.814,35,17,0.0065,45157226.93006444,48676659.549350105,-12422.118293339532,2026-08-25
0.2049,0.814,35,17,0.00825,45147234.958882794,48686365.15956547,-12906.866325580399,2026-08-25
0.2049,0.814,35,17,0.01,45200930.47969049,48690686.6449637,-10175.331283867847,2026-08-25
0.2049,0.814,35,20,0.0065,45182321.43095008,48703333.55242286,-11203.160413615551,2026-08-25
0.2049,0.814,35,20,0.00825,45217914.12248586,48725821.64461641,-9872.32851397746,2026-08-25
0.2049,0.814,35,20,0.01,45204763.066790625,48729155.12576558,-10104.110866304123,2026-08-25
0.2049,0.814,40,14,0.0065,45101074.00149504,48730064.83059058,-13876.043989160607,2026-08-25
0.2049,0.814,40,14,0.00825,45094240.88463596,48704340.09854562,-14284.924735060471,2026-08-25
0.2049,0.814,40,14,0.01,45101164.28341138,48729435.10257311,-13828.068384426602,2026-08-25
0.2049,0.814,40,17,0.0065,45073592.24446633,48735041.19586183,-14673.160482642896,2026-08-25
0.2049,0.814,40,17,0.00825,45088943.728377625,48716078.71635649,-14386.066655509247,2026-08-25
0.2049,0.814,40,17,0.01,45085658.750238426,48736221.0433468,-14322.499291241562,2026-08-25
0.2049,0.814,40,20,0.0065,45111140.050147645,48684498.50667829,-14042.930517065164,2026-08-25
0.2049,0.814,40,20,0.00825,45084317.9546454,48753311.31370157,-14093.020658665002,2026-08-25
0.2049,0.814,40,20,0.01,45087725.56020268,48685249.15841318,-14640.81515087976,2026-08-25
