cps,cpr,ncp,recent,sps,aug25,dec15,kink,trough_date
0.1649,0.754,30,14,0.0065,45167986.574713126,48671428.93421847,-12819.604211755417,2026-08-25
0.1649,0.754,30,14,0.00825,45162755.22888153,48670503.57543693,-13062.312973157197,2026-08-25
0.1649,0.754,30,14,0.01,45150366.48555223,48665814.5089167,-13499.854526746552,2026-08-25
0.1649,0.754,30,17,0.0065,45158108.2345097,48665655.33367283,-13384.752452655113,2026-08-25
0.1649,0.754,30,17,0.00825,45132137.36836512,48650814.46151566,-14332.238655043882,2026-08-25
0.1649,0.754,30,17,0.01,45152887.04422339,48666631.35072758,-13530.919206635284,2026-08-25
0.1649,0.754,30,20,0.0065,45153505.219841376,48652961.12219141,-13388.71812235404,2026-08-25
0.1649,0.754,30,20,0.00825,45167711.09287108,48679240.29713873,-13025.108359038,2026-08-25
0.1649,0.754,30,20,0.01,45158169.05199783,48679483.46439662,-13365.959140007864,2026-08-25
0.1649,0.754,35,14,0.0065,45200569.22819084,48679849.9828356,-8887.05355149848,2026-08-25
0.1649,0.754,35,14,0.00825,45200348.31339597,48666212.76528246,-8861.898850531637,2026-08-25
0.1649,0.754,35,14,0.01,45207377.347220995,48667025.39795761,-8963.797136689951,2026-08-25
0.1649,0.754,35,17,0.0065,45202980.381498866,48663910.197209634,-9420.14879597527,2026-08-25
0.1649,0.754,35,17,0.00825,45189905.04555063,48676173.05805403,-9961.545668976862,2026-08-25
0.1649,0.754,35,17,0.01,45187221.22857483,48674997.54761674,-9950.45764447096,2026-08-25
0.1649,0.754,35,20,0.0065,45189638.59878475,48666813.92610949,-9884.2746267986,2026-08-25
0.1649,0.754,35,20,0.00825,45169416.64932807,48667507.88111285,-11605.665797439033,2026-08-25
0.1649,0.754,35,20,0.01,45190634.6743206,48668426.09713552,-10350.23576050964,2026-08-25
0.1649,0.754,40,14,0.0065,45197607.85166596,48674019.41007381,-10616.007545191904,2026-08-25
0.1649,0.754,40,14,0.00825,45196615.514824115,48678552.77892202,-10835.046943704467,2026-08-25
0.1649,0.754,40,14,0.01,45208975.56376982,48687473.54455333,-10117.252459067822,2026-08-25
0.1649,0.754,40,17,0.0065,45205925.786059305,48682210.708184,-10628.12993117312,2026-08-25
0.1649,0.754,40,17,0.00825,45202249.434849806,48673720.994181536,-10551.286905262976,2026-08-25
0.1649,0.754,40,17,0.01,45183707.414393805,48661214.619979784,-11260.19524318845,2026-08-25
0.1649,0.754,40,20,0.0065,45199204.909215465,48677987.20124165,-10488.325199119892,2026-08-25
0.1649,0.754,40,20,0.00825,45179977.25717925,48660074.801966846,-11520.5594640645,2026-08-25
0.1649,0.754,40,20,0.01,45193135.73450448,48676032.132096425,-10832.941966369392,2026-08-25
0.1649,0.784,30,14,0.0065,45106781.32683168,48685056.481650345,-14406.702467142342,2026-08-25
0.1649,0.784,30,14,0.00825,45104892.65095695,48684002.90984959,-14510.580117352685,2026-08-25
0.1649,0.784,30,14,0.01,45104758.34703183,48679432.81046773,-14371.181617123977,2026-08-25
0.1649,0.784,30,17,0.0065,45087478.06279702,48671636.68749778,-14730.618759076504,2026-08-25
0.1649,0.784,30,17,0.00825,45106418.62962318,48685735.5175397,-14470.741636104372,2026-08-25
0.1649,0.784,30,17,0.01,45098111.2660324,48671032.31968965,-14639.360736095943,2026-08-25
0.1649,0.784,30,20,0.0065,45100874.62971523,48667497.76456709,-14502.890536722494,2026-08-25
0.1649,0.784,30,20,0.00825,45087524.9888317,48670548.5238276,-14892.805048459093,2026-08-25
0.1649,0.784,30,20,0.01,45103395.65707673,48674898.35144977,-14425.348294221214,2026-08-25
0.1649,0.784,35,14,0.0065,45172607.772007875,48678276.82442025,-11211.845599407578,2026-08-25
0.1649,0.784,35,14,0.00825,45181302.75319656,48693609.37261281,-11013.310438906818,2026-08-25
0.1649,0.784,35,14,0.01,45184912.93558697,48681820.46643753,-10826.387182507999,2026-08-25
