cps,cpr,ncp,recent,sps,aug25,dec15,kink,trough_date,parquet
0.1649,0.784,35,17,0.01,45188015.205446795,48678505.8906809,-10548.236980664478,2026-08-25,research/param-scans/aug25-gap/runs/cps0.1649_thresh032_recent17_cpr0.784_ncp35_clip0.6_sps0.01_regimemultiplicative/mozaic_daily_forecast.2026-07-28.ld-D.adj-lo.parquet
0.1649,0.784,40,17,0.0065,45118171.74546571,48673913.20425191,-13580.531610785489,2026-08-25,research/param-scans/aug25-gap/runs/cps0.1649_thresh032_recent17_cpr0.784_ncp40_clip0.6_sps0.0065_regimemultiplicative/mozaic_daily_forecast.2026-07-28.ld-D.adj-lo.parquet
0.1649,0.784,40,17,0.00825,45123319.63513164,48664256.30813161,-13530.335618283352,2026-08-25,research/param-scans/aug25-gap/runs/cps0.1649_thresh032_recent17_cpr0.784_ncp40_clip0.6_sps0.00825_regimemultiplicative/mozaic_daily_forecast.2026-07-28.ld-D.adj-lo.parquet
0.1649,0.784,40,17,0.01,45105357.643554725,48689374.24058695,-13780.97132761107,2026-08-25,research/param-scans/aug25-gap/runs/cps0.1649_thresh032_recent17_cpr0.784_ncp40_clip0.6_sps0.01_regimemultiplicative/mozaic_daily_forecast.2026-07-28.ld-D.adj-lo.parquet
0.1649,0.814,30,17,0.0065,45112166.955849774,48657849.98435878,-14819.55762646618,2026-08-25,research/param-scans/aug25-gap/runs/cps0.1649_thresh032_recent17_cpr0.814_ncp30_clip0.6_sps0.0065_regimemultiplicative/mozaic_daily_forecast.2026-07-28.ld-D.adj-lo.parquet
0.1649,0.814,30,17,0.00825,45103371.314745426,48647430.59021167,-15197.262871713741,2026-08-25,research/param-scans/aug25-gap/runs/cps0.1649_thresh032_recent17_cpr0.814_ncp30_clip0.6_sps0.00825_regimemultiplicative/mozaic_daily_forecast.2026-07-28.ld-D.adj-lo.parquet
0.1649,0.814,30,17,0.01,45111984.38646943,48658497.115313366,-14839.440085640323,2026-08-25,research/param-scans/aug25-gap/runs/cps0.1649_thresh032_recent17_cpr0.814_ncp30_clip0.6_sps0.01_regimemultiplicative/mozaic_daily_forecast.2026-07-28.ld-D.adj-lo.parquet
0.1649,0.814,35,17,0.0065,45176991.73266884,48694640.0359954,-11389.837330983457,2026-08-25,research/param-scans/aug25-gap/runs/cps0.1649_thresh032_recent17_cpr0.814_ncp35_clip0.6_sps0.0065_regimemultiplicative/mozaic_daily_forecast.2026-07-28.ld-D.adj-lo.parquet
0.1649,0.814,35,17,0.00825,45175229.53807213,48693342.659282506,-11588.244904839907,2026-08-25,research/param-scans/aug25-gap/runs/cps0.1649_thresh032_recent17_cpr0.814_ncp35_clip0.6_sps0.00825_regimemultiplicative/mozaic_daily_forecast.2026-07-28.ld-D.adj-lo.parquet
0.1649,0.814,35,17,0.01,45222482.94201038,48716911.311306395,-9698.237646249945,2026-08-25,research/param-scans/aug25-gap/runs/cps0.1649_thresh032_recent17_cpr0.814_ncp35_clip0.6_sps0.01_regimemultiplicative/mozaic_daily_forecast.2026-07-28.ld-D.adj-lo.parquet
0.1649,0.814,40,17,0.0065,45094212.84345346,48693290.96617557,-14527.602365765124,2026-08-25,research/param-scans/aug25-gap/runs/cps0.1649_thresh032_recent17_cpr0.814_ncp40_clip0.6_sps0.0065_regimemultiplicative/mozaic_daily_forecast.2026-07-28.ld-D.adj-lo.parquet
0.1649,0.814,40,17,0.00825,45036388.96727141,48672602.9676008,-16549.286235440377,2026-08-25,research/param-scans/aug25-gap/runs/cps0.1649_thresh032_recent17_cpr0.814_ncp40_clip0.6_sps0.00825_regimemultiplicative/mozaic_daily_forecast.2026-07-28.ld-D.adj-lo.parquet
0.1649,0.814,40,17,0.01,45095890.00478248,48736353.7417718,-13986.449079765589,2026-08-25,research/param-scans/aug25-gap/runs/cps0.1649_thresh032_recent17_cpr0.814_ncp40_clip0.6_sps0.01_regimemultiplicative/mozaic_daily_forecast.2026-07-28.ld-D.adj-lo.parquet
0.1649,0.82,35,17,0.00825,45265366.88107181,48772261.253992714,-8520.66369250507,2026-08-25,research/param-scans/aug25-gap/runs/cps0.1649_thresh032_recent17_cpr0.82_ncp35_clip0.6_sps0.00825_regimemultiplicative/mozaic_daily_forecast.2026-07-28.ld-D.adj-lo.parquet
0.1649,0.82,35,17,0.01,45204500.308693655,48715662.7236805,-10870.392758216396,2026-08-25,research/param-scans/aug25-gap/runs/cps0.1649_thresh032_recent17_cpr0.82_ncp35_clip0.6_sps0.01_regimemultiplicative/mozaic_daily_forecast.2026-07-28.ld-D.adj-lo.parquet
0.1649,0.754,30,20,0.0065,45153505.219841376,48652961.12219141,-13388.71812235404,2026-08-25,research/param-scans/aug25-gap/runs/cps0.1649_thresh032_recent20_cpr0.754_ncp30_clip0.6_sps0.0065_regimemultiplicative/mozaic_daily_forecast.2026-07-28.ld-D.adj-lo.parquet
0.1649,0.754,30,20,0.00825,45167711.09287108,48679240.29713873,-13025.108359038,2026-08-25,research/param-scans/aug25-gap/runs/cps0.1649_thresh032_recent20_cpr0.754_ncp30_clip0.6_sps0.00825_regimemultiplicative/mozaic_daily_forecast.2026-07-28.ld-D.adj-lo.parquet
0.1649,0.754,30,20,0.01,45158169.05199783,48679483.46439662,-13365.959140007864,2026-08-25,research/param-scans/aug25-gap/runs/cps0.1649_thresh032_recent20_cpr0.754_ncp30_clip0.6_sps0.01_regimemultiplicative/mozaic_daily_forecast.2026-07-28.ld-D.adj-lo.parquet
0.1649,0.754,35,20,0.0065,45189638.59878475,48666813.92610949,-9884.2746267986,2026-08-25,research/param-scans/aug25-gap/runs/cps0.1649_thresh032_recent20_cpr0.754_ncp35_clip0.6_sps0.0065_regimemultiplicative/mozaic_daily_forecast.2026-07-28.ld-D.adj-lo.parquet
0.1649,0.754,35,20,0.00825,45169416.64932807,48667507.88111285,-11605.665797439033,2026-08-25,research/param-scans/aug25-gap/runs/cps0.1649_thresh032_recent20_cpr0.754_ncp35_clip0.6_sps0.00825_regimemultiplicative/mozaic_daily_forecast.2026-07-28.ld-D.adj-lo.parquet
0.1649,0.754,35,20,0.01,45190634.6743206,48668426.09713552,-10350.23576050964,2026-08-25,research/param-scans/aug25-gap/runs/cps0.1649_thresh032_recent20_cpr0.754_ncp35_clip0.6_sps0.01_regimemultiplicative/mozaic_daily_forecast.2026-07-28.ld-D.adj-lo.parquet
0.1649,0.754,40,20,0.0065,45199204.909215465,48677987.20124165,-10488.325199119892,2026-08-25,research/param-scans/aug25-gap/runs/cps0.1649_thresh032_recent20_cpr0.754_ncp40_clip0.6_sps0.0065_regimemultiplicative/mozaic_daily_forecast.2026-07-28.ld-D.adj-lo.parquet
0.1649,0.754,40,20,0.00825,45179977.25717925,48660074.801966846,-11520.5594640645,2026-08-25,research/param-scans/aug25-gap/runs/cps0.1649_thresh032_recent20_cpr0.754_ncp40_clip0.6_sps0.00825_regimemultiplicative/mozaic_daily_forecast.2026-07-28.ld-D.adj-lo.parquet
0.1649,0.754,40,20,0.01,45193135.73450448,48676032.132096425,-10832.941966369392,2026-08-25,research/param-scans/aug25-gap/runs/cps0.1649_thresh032_recent20_cpr0.754_ncp40_clip0.6_sps0.01_regimemultiplicative/mozaic_daily_forecast.2026-07-28.ld-D.adj-lo.parquet
0.1649,0.784,30,20,0.0065,45100874.62971523,48667497.76456709,-14502.890536722494,2026-08-25,research/param-scans/aug25-gap/runs/cps0.1649_thresh032_recent20_cpr0.784_ncp30_clip0.6_sps0.0065_regimemultiplicative/mozaic_daily_forecast.2026-07-28.ld-D.adj-lo.parquet
0.1649,0.784,30,20,0.00825,45087524.9888317,48670548.5238276,-14892.805048459093,2026-08-25,research/param-scans/aug25-gap/runs/cps0.1649_thresh032_recent20_cpr0.784_ncp30_clip0.6_sps0.00825_regimemultiplicative/mozaic_daily_forecast.2026-07-28.ld-D.adj-lo.parquet
0.1649,0.784,30,20,0.01,45103395.65707673,48674898.35144977,-14425.348294221214,2026-08-25,research/param-scans/aug25-gap/runs/cps0.1649_thresh032_recent20_cpr0.784_ncp30_clip0.6_sps0.01_regimemultiplicative/mozaic_daily_forecast.2026-07-28.ld-D.adj-lo.parquet
0.1649,0.784,35,20,0.0065,45160818.05166899,48680476.317657754,-11530.11852239495,2026-08-25,research/param-scans/aug25-gap/runs/cps0.1649_thresh032_recent20_cpr0.784_ncp35_clip0.6_sps0.0065_regimemultiplicative/mozaic_daily_forecast.2026-07-28.ld-D.adj-lo.parquet
0.1649,0.784,35,20,0.00825,45161931.67197769,48688692.02065341,-11547.01224208151,2026-08-25,research/param-scans/aug25-gap/runs/cps0.1649_thresh032_recent20_cpr0.784_ncp35_clip0.6_sps0.00825_regimemultiplicative/mozaic_daily_forecast.2026-07-28.ld-D.adj-lo.parquet
0.1649,0.784,35,20,0.01,45185716.31467736,48678850.94121374,-10786.008439921512,2026-08-25,research/param-scans/aug25-gap/runs/cps0.1649_thresh032_recent20_cpr0.784_ncp35_clip0.6_sps0.01_regimemultiplicative/mozaic_daily_forecast.2026-07-28.ld-D.adj-lo.parquet
0.1649,0.784,40,20,0.0065,45138389.144715086,48699849.27943629,-13107.396027439012,2026-08-25,research/param-scans/aug25-gap/runs/cps0.1649_thresh032_recent20_cpr0.784_ncp40_clip0.6_sps0.0065_regimemultiplicative/mozaic_daily_forecast.2026-07-28.ld-D.adj-lo.parquet
0.1649,0.784,40,20,0.00825,45122977.01672655,48678065.26447683,-13258.40804803741,2026-08-25,research/param-scans/aug25-gap/runs/cps0.1649_thresh032_recent20_cpr0.784_ncp40_clip0.6_sps0.00825_regimemultiplicative/mozaic_daily_forecast.2026-07-28.ld-D.adj-lo.parquet
0.1649,0.784,40,20,0.01,45146438.20058555,48673883.89863883,-12978.538482449672,2026-08-25,research/param-scans/aug25-gap/runs/cps0.1649_thresh032_recent20_cpr0.784_ncp40_clip0.6_sps0.01_regimemultiplicative/mozaic_daily_forecast.2026-07-28.ld-D.adj-lo.parquet
0.1649,0.814,30,20,0.0065,45125322.29894484,48664990.823796794,-14326.574012907324,2026-08-25,research/param-scans/aug25-gap/runs/cps0.1649_thresh032_recent20_cpr0.814_ncp30_clip0.6_sps0.0065_regimemultiplicative/mozaic_daily_forecast.2026-07-28.ld-D.adj-lo.parquet
0.1649,0.814,30,20,0.00825,45123362.99747165,48666720.85311316,-14406.41634583917,2026-08-25,research/param-scans/aug25-gap/runs/cps0.1649_thresh032_recent20_cpr0.814_ncp30_clip0.6_sps0.00825_regimemultiplicative/mozaic_daily_forecast.2026-07-28.ld-D.adj-lo.parquet
0.1649,0.814,30,20,0.01,45109329.63378302,48648914.458515696,-14930.94963850586,2026-08-25,research/param-scans/aug25-gap/runs/cps0.1649_thresh032_recent20_cpr0.814_ncp30_clip0.6_sps0.01_regimemultiplicative/mozaic_daily_forecast.2026-07-28.ld-D.adj-lo.parquet
0.1649,0.814,35,20,0.0065,45188373.6411724,48710998.925365284,-10729.559235861278,2026-08-25,research/param-scans/aug25-gap/runs/cps0.1649_thresh032_recent20_cpr0.814_ncp35_clip0.6_sps0.0065_regimemultiplicative/mozaic_daily_forecast.2026-07-28.ld-D.adj-lo.parquet
0.1649,0.814,35,20,0.00825,45186553.449023016,48700991.4774025,-11002.030186275486,2026-08-25,research/param-scans/aug25-gap/runs/cps0.1649_thresh032_recent20_cpr0.814_ncp35_clip0.6_sps0.00825_regimemultiplicative/mozaic_daily_forecast.2026-07-28.ld-D.adj-lo.parquet
0.1649,0.814,35,20,0.01,45215249.11759108,48722471.27098481,-10004.059409802772,2026-08-25,research/param-scans/aug25-gap/runs/cps0.1649_thresh032_recent20_cpr0.814_ncp35_clip0.6_sps0.01_regimemultiplicative/mozaic_daily_forecast.2026-07-28.ld-D.adj-lo.parquet
0.1649,0.814,40,20,0.0065,45083983.80535314,48746494.170414686,-14105.422047756176,2026-08-25,research/param-scans/aug25-gap/runs/cps0.1649_thresh032_recent20_cpr0.814_ncp40_clip0.6_sps0.0065_regimemultiplicative/mozaic_daily_forecast.2026-07-28.ld-D.adj-lo.parquet
0.1649,0.814,40,20,0.00825,45091535.45883338,48707662.38817109,-14447.358807947763,2026-08-25,research/param-scans/aug25-gap/runs/cps0.1649_thresh032_recent20_cpr0.814_ncp40_clip0.6_sps0.00825_regimemultiplicative/mozaic_daily_forecast.2026-07-28.ld-D.adj-lo.parquet
0.1649,0.814,40,20,0.01,45086720.78592674,48676941.27065437,-14912.738142278205,2026-08-25,research/param-scans/aug25-gap/runs/cps0.1649_thresh032_recent20_cpr0.814_ncp40_clip0.6_sps0.01_regimemultiplicative/mozaic_daily_forecast.2026-07-28.ld-D.adj-lo.parquet
0.16589,0.7172,33,16,0.00825,45218046.46197445,48757376.78631075,-8240.121962407728,2026-08-25,research/param-scans/aug25-gap/runs/cps0.16589_thresh032_recent16_cpr0.7172_ncp33_clip0.6_sps0.00825_regimemultiplicative/mozaic_daily_forecast.2026-07-28.ld-D.adj-lo.parquet
0.17064,0.7214,34,16,0.00825,45202917.983284555,48724851.13684512,-9424.06160330787,2026-08-25,research/param-scans/aug25-gap/runs/cps0.17064_thresh032_recent16_cpr0.7214_ncp34_clip0.6_sps0.00825_regimemultiplicative/mozaic_daily_forecast.2026-07-28.ld-D.adj-lo.parquet
0.1749,0.814,40,20,0.00825,45092648.868170746,48722203.640784286,-14222.007313672933,2026-08-25,research/param-scans/aug25-gap/runs/cps0.1749_thresh032_recent20_cpr0.814_ncp40_clip0.6_sps0.00825_regimemultiplicative/mozaic_daily_forecast.2026-07-28.ld-D.adj-lo.parquet
0.1749,0.814,43,20,0.00825,45156799.2312417,48694896.53089444,-12426.801366740081,2026-08-25,research/param-scans/aug25-gap/runs/cps0.1749_thresh032_recent20_cpr0.814_ncp43_clip0.6_sps0.00825_regimemultiplicative/mozaic_daily_forecast.2026-07-28.ld-D.adj-lo.parquet
0.1749,0.814,46,20,0.00825,45144533.45288772,48709913.18870556,-12220.575749212447,2026-08-25,research/param-scans/aug25-gap/runs/cps0.1749_thresh032_recent20_cpr0.814_ncp46_clip0.6_sps0.00825_regimemultiplicative/mozaic_daily_forecast.2026-07-28.ld-D.adj-lo.parquet
0.1749,0.814,49,20,0.00825,45185089.92916554,48749111.93672366,-10892.84345596165,2026-08-25,research/param-scans/aug25-gap/runs/cps0.1749_thresh032_recent20_cpr0.814_ncp49_clip0.6_sps0.00825_regimemultiplicative/mozaic_daily_forecast.2026-07-28.ld-D.adj-lo.parquet
